Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"PHI",162,96,66,47,667,162,1440.1,9.191622902017563,2.7181209805422433,1.1059940541516713,0.2994088923156001,0.74690109,0.433084577,0.119272237,94.67074785218213,3.7928722648026243,3.6382656892252356,3.7044490140036297,3.6953824615714392,24.443321496713907
"LAD",162,93,69,46,743,162,1441,9.399723342093733,3.5163084661785855,1.092991086289969,0.28522154417617407,0.731782,0.416538263,0.116900467,94.53720385989769,3.9535049006945733,3.8267903252570856,3.9324993392526126,3.955388830925512,20.810706732794642
"CIN",162,83,79,41,712,162,1435,8.655052966910308,3.0982580910534,1.1916377273282308,0.274077868852459,0.73311897,0.385760357,0.114320096,94.88086346585726,3.8634149475483692,3.9560300863937217,4.105868104270076,4.170237963978567,19.389198813587427
"PIT",162,71,91,36,672,162,1430.2,8.266077157768253,2.975536145832864,0.9624884361784951,0.2806752330561854,0.73054791,0.415584415,0.097204574,94.84181292137225,3.761882907416602,4.062414890463203,3.8334122424931465,4.139351935283994,19.052959950640798
"TEX",162,81,81,37,685,162,1443,8.382537246775353,2.887734185459069,1.072765183367084,0.2716585739841554,0.75835987,0.407370764,0.10783699,94.44671462200306,3.492723852823064,4.085613909406073,3.8884281491628725,4.043018745210155,18.737141930498183
"MIL",162,97,65,45,712,162,1442,8.937587400380897,3.332871279192318,1.048543773229044,0.27831293933871387,0.75103009,0.407688416,0.105,94.55976392010996,3.5887658905160724,3.82701664001603,3.9118354094875603,4.1079400740511405,18.595645064488053
"BOS",162,89,73,45,698,162,1448.1,8.457307897552486,3.2934409887603358,1.0191024946352738,0.29065141720537047,0.73839662,0.449831162,0.112405757,95.05924857969298,3.7159956816578883,4.104274907274937,3.976793459778873,4.057850538682008,18.44517156528309
"HOU",162,87,75,45,680,162,1442,9.386963203863454,3.1705966140709005,1.2420250515750182,0.2804878048780488,0.74980575,0.404737646,0.126509853,93.75560600341235,3.8633844569092273,3.740010329126003,4.020711969162287,3.908476137631764,17.965851018976537
"KCR",162,82,80,47,709,162,1436.2,7.96218174438154,2.9944318440711064,1.071229801958492,0.2819940476190476,0.75018849,0.419107057,0.107277289,94.12955942502803,3.733643052440124,4.0671704016503485,4.005206007906667,4.168453681081118,17.493542730808258
"NYM",162,83,79,40,703,162,1432,8.717179637226078,3.494413755081254,0.9364526070271707,0.29866867621200704,0.71315283,0.462047012,0.107658959,94.76281404911659,4.041201518915911,4.211868413331258,3.883041420463386,4.020448704841554,16.99425356904976
"SDP",162,90,72,49,739,162,1433,8.94975663270586,3.360084069121147,1.1179345127169424,0.26971942826892537,0.75978809,0.399897854,0.108801955,94.98472055931614,3.642707962785543,3.921372271912446,4.017202001149493,4.162551295902043,16.59451240580529
"CLE",162,88,74,47,693,162,1442,8.619279611732244,3.2891820096907263,1.0547851226522442,0.2860056079530971,0.74782928,0.412432165,0.106289308,93.67126026910677,3.7011099274129045,3.9840183673498113,3.9520573402214767,4.12845507606358,16.46419015992433
"MIN",162,70,92,28,705,162,1426.2,8.655140746194807,2.895560934769254,1.2238318547826477,0.30258577821979116,0.69929231,0.381831255,0.111494252,93.7949906457521,4.548364779888088,4.213131213172248,4.08980927709222,4.202397887925312,16.372457184363157
"NYY",162,94,68,43,695,162,1439.2,9.00208459116585,3.482056331444013,1.0940033357319612,0.27629187224097634,0.72636816,0.436997991,0.11808367,94.31634160983035,3.9071547704712897,3.846985439090609,3.9943630650642064,4.001210251015593,16.29745574342087
"SFG",162,81,81,41,677,162,1433.2,8.524994719274128,3.176470786415839,0.8976982657262154,0.3010699178900224,0.71999074,0.45290825,0.09903047,94.68067609445853,3.841897472898208,3.9610685907199543,3.7405769511907465,3.9967533707286114,15.670866541098803
"TBR",162,77,85,35,679,162,1431.1,8.903586994836468,2.9804380194579703,1.2890080041959575,0.2812006319115324,0.74066798,0.428463285,0.134338138,95.59259718436648,3.942478139662758,3.9292994397882453,4.152369735068204,3.9341774948483677,15.299493113940116
"DET",162,87,75,40,670,162,1436.1,8.615688829175365,3.038988423381856,1.1717336807678498,0.28564154786150714,0.73026647,0.429518664,0.12458361,94.69491988671427,3.9726157946888594,3.9641878920700466,4.049269605698282,3.967917111995686,15.178286527050659
"SEA",162,90,72,43,712,162,1462.2,8.77438531290817,2.7935280028473413,1.181403913098435,0.28560682046138414,0.73261225,0.429296591,0.122605363,95.06773581075424,3.870328444473519,3.9992018228739017,3.9746988212651644,3.9188855312453006,14.218184835815919
"CHC",162,92,70,44,685,162,1435,7.933798505217676,2.5400698771645525,1.266899049845036,0.2719276200050264,0.74904057,0.39690597,0.118405627,93.46252948850135,3.8069689270095886,4.041175545791722,4.159526639038582,4.162458535453523,13.380391486454755
"STL",162,78,84,42,649,162,1432,7.598464425965931,2.897346650430351,1.0684358580762683,0.29867674858223064,0.6973607,0.455486542,0.114247311,94.2188181253348,4.298883099553926,4.374448800335032,4.056225793241165,4.114960505945277,12.693413884844631
"TOR",162,94,68,42,732,162,1438,8.949931349674136,3.2357444110360336,1.3080668895677583,0.28593628593628595,0.73381384,0.395446671,0.127750611,93.54020121675022,4.187065785267131,4.304048618842747,4.2644827449255756,4.1290762773496,11.697214056097437
"CHW",162,60,102,25,694,162,1416,8.173729628470937,3.781780038056149,1.2012713062060707,0.2880462079357107,0.72537966,0.391462527,0.11117647,94.11127832640287,4.283898732184612,4.537158659894184,4.467057354952613,4.5828460918855445,11.548711597453803
"ATL",162,76,86,34,682,162,1438,8.86230955580759,3.3171073902387165,1.2329625582585417,0.2949013579297976,0.72598971,0.415988156,0.129520052,94.41736083863196,4.362309152823369,4.226665865712094,4.198418750004482,4.048200028487065,11.397526937595103
