Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"HOU",162,106,56,53,642,162,1445.1,9.489853014256822,2.851937454415764,0.8344096482351799,0.26820652173913045,0.77235772,0.426871198,0.092990978,94.35576651718866,2.895526018129542,3.3205436635663963,3.284017728663477,3.5546904706978966,26.706646387465298
"LAD",162,111,51,43,725,162,1451.1,9.08475020071352,2.5238862332357694,0.9425815907907542,0.25544344131704727,0.78296703,0.425064599,0.098381877,93.18287445052962,2.796738798990988,3.1482061153276897,3.4514296439651457,3.665833007164931,25.141891258768737
"PHI",162,87,75,42,678,162,1428.1,8.966395042014462,2.917386440233799,0.9451575940282286,0.30240902101486417,0.71229558,0.441872043,0.106232294,94.42225796352706,3.975962945545415,3.661674602505434,3.6004123668763004,3.6986258617058727,22.809233594918624
"ATL",162,101,61,55,680,162,1448,9.658840472801804,3.1077350298590103,0.9198895688382671,0.28563843907618797,0.74550291,0.435163701,0.104446012,94.67461109251772,3.4558013532032197,3.501082510887376,3.4591161094385905,3.5790632488616945,22.181663466617465
"NYM",162,101,61,41,645,162,1438.2,9.790316038959487,2.6774794023480255,1.0572290163477018,0.29728275490987355,0.75956782,0.433428497,0.118430273,94.31039830288918,3.5845693867883615,3.5474050617588824,3.504460696087997,3.4457168115189187,21.50715599535033
"NYY",162,99,63,47,669,162,1451.2,9.045465831493688,2.7526983064997927,0.9733640408118637,0.2675059008654603,0.76319738,0.440966921,0.107460643,95.13765223251315,3.304477921991868,3.48072483510953,3.5601922377054662,3.6441093747524262,20.80538587050978
"SFG",162,81,81,39,738,162,1433,8.604327395338611,2.7697141469666624,0.829030084806348,0.3104294478527607,0.69962468,0.476522995,0.097922848,94.51989942716872,3.8625265314841215,3.618937302600897,3.4299467327969526,3.6250185979598153,20.298556494992226
"SDP",162,89,73,48,649,162,1443.1,9.047806622375253,2.9182450029439133,1.0787529604899508,0.28187225239203517,0.73503298,0.412381427,0.110755441,94.32182167591066,3.8099309760656648,3.743271089579902,3.8156643060288467,3.8595467632856733,18.948989902681205
"CLE",162,92,70,51,669,162,1456,8.592033563750169,2.6888738131160603,1.0631868870252008,0.2744599745870394,0.73842469,0.424637324,0.112052117,93.27711395381876,3.4739013401637373,3.8807921578904043,3.752540936228768,3.7775182972189567,17.69156046328135
"TBR",162,86,76,44,734,162,1435.2,8.67610937881224,2.407244220710911,1.0782448071934287,0.27726809378185524,0.74598421,0.425259003,0.112052117,94.22247598410634,3.4102626460071237,3.59591519537681,3.6822011904773073,3.707532305931921,17.21899317612406
