Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"NYY",162,2304,6245,237,815,782,88,0.107606084,0.212329863,0.180550459,0.28270791,0.248073394,0.332851637,0.428623853,0.3306241205952622,0.34598416501709806,117.99419949439923,-17.128478760714643,111.4506803179915,15.306272295769304,34.46936770987961
"ARI",162,2436,6284,211,886,845,119,0.090547422,0.201304901,0.177109743,0.30179961,0.262948207,0.337285691,0.44005795,0.3365652027867907,0.33347437532564095,114.90195114689388,12.506815986242145,124.47300725651407,-1.9737618789076805,34.37071127210706
"LAD",162,2403,6255,233,842,815,136,0.096243005,0.213589128,0.188699747,0.297202797,0.257696486,0.334829299,0.446396233,0.33707411224673806,0.33823520422443715,116.8857098379475,10.66492607537657,136.89371102199655,-29.916077641770244,32.667442287886146
"BAL",162,2412,6176,235,786,759,98,0.079177461,0.220045336,0.185557751,0.287705326,0.249865277,0.315328467,0.435423028,0.3243981082736719,0.3279992539990778,113.65957057352942,-0.42914458568702685,95.98168918881402,-32.08721683034673,27.74086920980581
"MIL",162,2381,6170,177,777,742,217,0.096758508,0.236466774,0.154605263,0.305426356,0.248355263,0.325581395,0.402960526,0.3185303828066753,0.3142608877685335,104.57607713442052,19.81898215698311,53.5110693679799,7.990238855476491,27.67696682414517
"SDP",162,2429,6103,190,760,726,120,0.075045059,0.176470588,0.156532755,0.295104895,0.263481722,0.324493493,0.420014477,0.32355958459673884,0.33313537896686374,110.77902383559484,4.63250054884702,83.29796055834025,-28.469918340444565,26.756196261501433
"PHI",162,2317,6166,198,784,750,148,0.083522542,0.222186182,0.167509938,0.305791313,0.257137694,0.325150382,0.424647632,0.3253225826517015,0.3246534907692192,106.81294216468484,10.031253554683644,60.163410640099855,-13.66253032721579,26.113931564277657
"HOU",161,2336,6107,190,740,701,93,0.073358441,0.192565907,0.156600362,0.298812351,0.261844484,0.322278771,0.418444846,0.32096969490493266,0.3251561184881703,110.5695608624594,-12.873245790600777,60.75416430353282,-16.137933789985254,25.513651898542022
"NYM",162,2404,6166,207,768,735,106,0.083360363,0.224132338,0.168784029,0.29062421,0.246279491,0.319083224,0.41506352,0.32010151067088355,0.32825510320557627,108.02932578115126,-7.787574389949441,51.41544874883678,-12.992892147041857,25.27962063252604
"MIN",162,2451,6123,183,742,702,65,0.077249714,0.213294136,0.164663023,0.288784584,0.246265938,0.315169366,0.410928961,0.3158831531255264,0.318760535502618,105.40436404323175,-11.227305373176932,26.635645908288524,-15.10940292297164,22.150965117592907
"TOR",162,2400,6060,156,671,640,72,0.084158415,0.203465346,0.147874307,0.282833251,0.241404805,0.313420486,0.389279112,0.30733825574771995,0.314161812853678,100.87940618433502,-13.000324530526996,-6.902600756940062,18.01796797569841,21.89286603933063
"CLE",161,2455,5927,185,708,670,148,0.078623249,0.201788425,0.157438795,0.271399798,0.237853107,0.307483914,0.395291902,0.3057943550683431,0.30232223426816573,100.369796546316,-1.1782268062233925,1.2618965370026345,12.758417502045631,21.737590076274497
"CHC",162,2364,6116,170,736,696,143,0.089274035,0.222694571,0.15089138,0.290632911,0.242234883,0.317153164,0.393126263,0.31075224525972817,0.31883510814576194,100.23495032838692,10.52314311824739,12.241466174670673,-6.961456693708897,21.683919582808212
"SEA",162,2383,6067,185,676,642,140,0.094115707,0.267842426,0.151782364,0.284186831,0.224202626,0.311022971,0.37598499,0.30334341547752586,0.31351486861626626,104.06627236832773,1.4059017589315772,29.62294382842532,-21.762553128879517,21.580662205894505
"BOS",162,2416,6192,194,751,724,144,0.079618863,0.253552971,0.170880402,0.314041007,0.251748251,0.318615558,0.422628653,0.32070578443661135,0.3138867439101496,105.40384173039465,4.455116147175431,42.578555032857416,-41.35730425850488,21.32289318171867
"KCR",162,2409,5982,170,735,711,134,0.071715145,0.194082246,0.155690832,0.283059845,0.247740269,0.306245802,0.403431101,0.30734678078348643,0.3189456080412893,97.1945130794816,8.944669347256422,-10.367123514116667,15.4617705848068,21.004046217163427
"ATL",162,2283,6075,213,704,674,69,0.07983539,0.240493827,0.171866448,0.291211648,0.243203794,0.309417779,0.415070242,0.31475247689925984,0.3264050366626587,100.78510007165549,-10.281599734560587,-4.644419587043055,-16.63193828985095,18.79953075112529
"DET",162,2387,6021,162,682,656,76,0.079056635,0.242650722,0.151414921,0.287823834,0.233921352,0.299617368,0.385336273,0.29889264119070835,0.3065328950103842,94.03197004936769,5.20994658023119,-35.9055205252644,12.166885853512213,18.15971709965377
"TEX",162,2291,6053,176,683,652,97,0.080951594,0.212126218,0.142178363,0.278574962,0.237938596,0.305440714,0.380116959,0.3002595929575734,0.3101223630821036,96.7341298579394,-3.1657024421729147,-25.868178803646067,-0.541811928153038,17.993369516922847
"SFG",162,2414,6062,177,693,661,68,0.081161332,0.239524909,0.156959707,0.290355853,0.238644688,0.305238803,0.395604395,0.30519322507858593,0.3139251651963689,97.16748500393841,0.5745710310293362,-20.017567323892596,-9.917173977941275,17.86038092121329
"STL",162,2352,6114,165,672,639,91,0.078181223,0.215570821,0.144180135,0.29427659,0.247503177,0.311596583,0.391683312,0.3073353638339882,0.31355314311433363,98.32645625876489,-2.9879645351320505,-15.223522723215734,-23.750059008598328,17.106596595059607
"TBR",162,2392,6006,147,604,564,178,0.082084582,0.247252747,0.135832251,0.288730535,0.230283911,0.302403204,0.366116162,0.29430693139674097,0.2988134214142025,94.8333314628609,4.899872365407646,-30.6061102352693,-15.988259652629495,15.747879905639083
"OAK",162,2384,6034,196,643,619,98,0.081703679,0.24892277,0.159425626,0.284009546,0.233247422,0.301413133,0.392673048,0.30301122289947635,0.30941255100975246,100.87308270007952,-7.387393340235576,-1.359489771500722,-67.95509774237871,13.497238418812028
"CIN",162,2380,5970,174,699,663,207,0.083082077,0.244388609,0.157183099,0.282730923,0.230985915,0.304654679,0.388169014,0.3034473749461758,0.3035899461261162,88.8404933765959,15.69139301852556,-64.04965796503903,-39.43083574762568,9.946764775612362
"WSN",162,2353,5971,135,660,621,223,0.076369117,0.204320884,0.131745441,0.288494703,0.243021957,0.308766616,0.374767398,0.30018304781743343,0.3059123422457203,91.43177181866227,6.433616920374334,-54.74496122158945,-50.75986282527447,9.74115281536864
