roi,win_rate,n_bets,threshold,w_comb_k_pct,seed
-0.2285073407318092,0.5211864406779662,236,2.944926654927829,1.0,24331
-0.2285073407318092,0.5211864406779662,236,2.9484399867427293,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.920820300227757,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.924900488118896,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.9269357842124677,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.9318106161152557,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.920165393285027,1.0,24331
-0.32635054247757844,0.522633744855967,243,2.9209435692940566,1.0,24331
-0.34648196846077445,0.5206611570247934,242,2.935547321654824,1.0,24331
-0.34648196846077445,0.5206611570247934,242,2.93556605100391,1.0,24331
-0.7348491058280802,0.5204918032786885,244,2.918229367903469,1.0,24331
-1.0804018393017552,0.518796992481203,266,2.8771092035691397,1.0,24331
-1.1400129870287818,0.5183673469387755,245,2.917657061296545,1.0,24331
-1.234836438825215,0.5180722891566265,249,2.909775413484513,1.0,24331
-1.2805827432090773,0.5152838427947598,229,2.961844077434919,1.0,24331
-1.4116351089495258,0.5171102661596958,263,2.8809999051313877,1.0,24331
-1.4116351089495258,0.5171102661596958,263,2.8825335087562647,1.0,24331
-1.4596955260060018,0.5138888888888888,216,2.984834166549671,1.0,24331
-1.5878221735785019,0.5133928571428571,224,2.974245755673104,1.0,24331
-1.5966526148738687,0.5161290322580645,248,2.911819006383718,1.0,24331
-1.5988165674339587,0.5132743362831859,226,2.9724551138269604,1.0,24331
-1.6298970930699141,0.516,250,2.906945468090701,1.0,24331
-1.7682908033652263,0.5153846153846153,260,2.893230211167204,1.0,24331
-2.032301957004734,0.5110132158590308,227,2.9660914172748485,1.0,24331
-2.2040472293880975,0.5129151291512916,271,2.868080841919454,1.0,24331
-2.3636438950136576,0.5150905432595574,497,2.5384855227698018,1.0,24331
-2.3636438950136576,0.5150905432595574,497,2.5377483343992617,1.0,24331
-2.5635911733977004,0.5110294117647058,272,2.8652204214559904,1.0,24331
-2.6959396589181206,0.513184584178499,493,2.5477316848498965,1.0,24331
-2.7292388926194615,0.5131313131313131,495,2.5419188807266395,1.0,24331
-2.7549719755947653,0.5130260521042084,499,2.5358049906720783,1.0,24331
-2.915159806628765,0.5089605734767025,279,2.848808022104473,1.0,24331
-2.915159806628765,0.5089605734767025,279,2.850334159010157,1.0,24331
-3.1454044199387603,0.510934393638171,503,2.532472069030659,1.0,24331
-3.1887669621664414,0.5080906148867314,309,2.8063144965117277,1.0,24331
-3.1887669621664414,0.5080906148867314,309,2.8058900957998403,1.0,24331
-3.2618913787479475,0.5071428571428571,280,2.84467517749051,1.0,24331
-3.287949651465526,0.5116564417177915,815,2.1847210537364345,1.0,24331
-3.323329741761326,0.511543134872418,823,2.1766801020564976,1.0,24331
-3.4074698963031573,0.5108005082592122,787,2.2032535259762236,1.0,24331
-3.4101140197767172,0.5110565110565111,814,2.1852215622709434,1.0,24331
-3.4560298842981627,0.5075987841945289,329,2.769994088733229,1.0,24331
-3.4722493464908784,0.5075528700906344,331,2.767531949045831,1.0,24331
-3.474823343695162,0.5074626865671642,335,2.7612985821327234,1.0,24331
-3.501061262288485,0.5064516129032258,310,2.8044748691582844,1.0,24331
-3.5201522574859765,0.5099540581929556,653,2.344178544165647,1.0,24331
-3.5360062460312633,0.5088062622309197,511,2.521038917195153,1.0,24331
-3.552387771627413,0.5098634294385432,659,2.3379999153929316,1.0,24331
-3.606155110496176,0.505338078291815,281,2.843252843054925,1.0,24331
-3.614488874349563,0.5094890510948905,685,2.3114921505837165,1.0,24331
-3.614488874349563,0.5094890510948905,685,2.3119351901015257,1.0,24331
-3.6162589152370876,0.5099009900990099,808,2.1903054942453144,1.0,24331
-3.620120885276732,0.5097765363128491,716,2.274150133137116,1.0,24331
-3.6266774137137996,0.5082304526748971,486,2.556434169027582,1.0,24331
-3.6392537164073766,0.5094614264919942,687,2.3022757421354343,1.0,24331
-3.6392537164073766,0.5094614264919942,687,2.3059419270386936,1.0,24331
-3.6392537164073766,0.5094614264919942,687,2.3075314533866083,1.0,24331
