game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual,home_bullpen_3d_pitches,away_bullpen_3d_pitches,home_lineup_vs_away_pitch_mix,away_lineup_vs_home_pitch_mix,home_team_base_runs_delta,away_team_base_runs_delta,home_away_density_altitude_delta,travel_fatigue,market_total_mismatch
2021-04-04,MIL,MIN,historical,,-110.0,-106.0,0.504452,0.495548,0,-0.504452,128.0,91.0,-2.779713,-1.25418,2.167158,1.184981,-0.207,0.0,-1.656
2021-04-04,KC,TEX,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321,136.0,165.0,3.903054,0.632718,6.034949,3.759022,0.19,0.0,1.805
2021-04-04,CHC,PIT,historical,,-190.0,160.0,0.630102,0.369898,1,0.369898,122.0,78.0,0.743744,-0.302221,2.342351,0.81385,-0.127,0.5,-1.0795
2021-04-04,COL,LAD,historical,,162.0,-194.0,0.366456,0.633544,0,-0.366456,161.0,104.0,1.324902,3.706409,2.968366,2.480382,4.77,0.5,57.24
2021-04-04,OAK,HOU,historical,,-110.0,-106.0,0.504452,0.495548,0,-0.504452,186.0,159.0,-0.906033,1.28368,0.991982,4.067062,-0.033,1.0,-0.2805
2021-04-04,SD,ARI,historical,,-210.0,176.0,0.651529,0.348471,0,-0.651529,136.0,189.0,3.477528,0.609778,2.393974,0.4384,-1.072,0.0,-9.648
2021-04-04,LAA,CHW,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039,133.0,123.0,0.582102,1.114132,3.10899,3.022124,-0.441,1.0,-4.1895
2021-04-05,DET,MIN,historical,,136.0,-162.0,0.40663,0.59337,0,-0.40663,64.0,66.0,0.930458,-0.834297,1.546141,1.945846,-0.237,0.5,-2.133
2021-04-05,TEX,TOR,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101,38.0,58.0,1.584494,-0.851336,3.714883,0.872188,0.301,0.5,2.8595
2021-04-05,NYY,BAL,historical,,-240.0,198.0,0.677786,0.322214,1,0.322214,129.0,131.0,-0.710613,0.771573,0.787391,3.454687,0.045,0.0,0.4275
2021-04-05,CIN,PIT,historical,,-158.0,134.0,0.588989,0.411011,1,0.411011,94.0,50.0,2.229127,0.30995,4.646408,0.86633,-0.232,0.0,-2.204
2021-04-05,MIA,STL,historical,,-118.0,100.0,0.519824,0.480176,0,-0.519824,106.0,122.0,0.872779,1.005005,2.480096,3.206829,-0.43,1.5,-3.655
2021-04-05,PHI,NYM,historical,,184.0,-220.0,0.338696,0.661304,1,0.661304,79.0,0.0,-0.944682,0.0,1.097781,,0.03,,0.225
2021-04-05,BOS,TB,historical,,-106.0,-110.0,0.495548,0.504452,1,0.504452,183.0,84.0,-2.383981,0.94929,0.756013,1.997762,0.0,-1.0,0.0
2021-04-05,CHC,MIL,historical,,-112.0,-104.0,0.508909,0.491091,1,0.491091,43.0,92.0,0.26637,-1.910771,2.34149,1.594943,-0.035,0.0,-0.3325
2021-04-05,LAA,HOU,historical,,-110.0,-106.0,0.504452,0.495548,1,0.495548,129.0,98.0,-0.175144,0.820987,2.843442,4.03374,0.111,1.0,1.11
