game_date,home_team,away_team,snapshot_label,snapshot_logged_at,fd_home_ml,fd_away_ml,market_prob_home,market_prob_away,home_win,residual
2021-04-06,CIN,PIT,historical,,-158.0,134.0,0.588989,0.411011,1,0.411011
2021-04-06,PHI,NYM,historical,,114.0,-134.0,0.449343,0.550657,0,-0.449343
2021-04-06,BOS,TB,historical,,138.0,-164.0,0.403472,0.596528,1,0.596528
2021-04-06,CHC,MIL,historical,,-120.0,102.0,0.524221,0.475779,0,-0.524221
2021-04-06,TEX,TOR,historical,,118.0,-138.0,0.44169,0.55831,1,0.55831
2021-04-06,COL,ARI,historical,,-134.0,114.0,0.550657,0.449343,0,-0.550657
2021-04-06,OAK,LAD,historical,,152.0,-180.0,0.381679,0.618321,0,-0.381679
2021-04-06,SD,SF,historical,,-194.0,162.0,0.633544,0.366456,1,0.366456
2021-04-06,SEA,CHW,historical,,138.0,-164.0,0.403472,0.596528,0,-0.403472
2021-04-07,CIN,PIT,historical,,-225.0,188.0,0.665982,0.334018,1,0.334018
2021-04-07,DET,MIN,historical,,150.0,-178.0,0.384509,0.615491,0,-0.384509
2021-04-07,BOS,TB,historical,,-122.0,104.0,0.528542,0.471458,1,0.471458
2021-04-07,TEX,TOR,historical,,164.0,-196.0,0.363887,0.636113,1,0.636113
2021-04-07,CHC,MIL,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909
2021-04-07,OAK,LAD,historical,,136.0,-162.0,0.40663,0.59337,1,0.59337
2021-04-07,PHI,NYM,historical,,-164.0,138.0,0.596528,0.403472,1,0.403472
2021-04-07,SD,SF,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374
2021-04-07,MIA,STL,historical,,100.0,-118.0,0.480176,0.519824,0,-0.480176
2021-04-07,SEA,CHW,historical,,124.0,-146.0,0.429289,0.570711,1,0.570711
2021-04-07,NYY,BAL,historical,,-210.0,176.0,0.651529,0.348471,0,-0.651529
2021-04-07,COL,ARI,historical,,-102.0,-116.0,0.484603,0.515397,1,0.515397
2021-04-08,NYM,MIA,historical,,-198.0,166.0,0.638648,0.361352,1,0.361352
2021-04-08,PIT,CHC,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101
2021-04-08,BAL,BOS,historical,,300.0,-410.0,0.237209,0.762791,0,-0.237209
2021-04-08,COL,ARI,historical,,-136.0,116.0,0.554515,0.445485,1,0.445485
2021-04-08,MIN,SEA,historical,,-210.0,176.0,0.651529,0.348471,1,0.348471
2021-04-08,CHW,KC,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293
2021-04-08,STL,MIL,historical,,120.0,-142.0,0.436508,0.563492,1,0.563492
2021-04-08,TOR,LAA,historical,,-112.0,-104.0,0.508909,0.491091,0,-0.508909
2021-04-08,HOU,OAK,historical,,-156.0,132.0,0.585707,0.414293,1,0.414293
2021-04-09,TB,NYY,historical,,120.0,-142.0,0.436508,0.563492,1,0.563492
2021-04-09,LAD,WAS,historical,,-295.0,240.0,0.717454,0.282546,1,0.282546
2021-04-09,SF,COL,historical,,-154.0,130.0,0.582374,0.417626,1,0.417626
2021-04-09,TOR,LAA,historical,,106.0,-124.0,0.467212,0.532788,0,-0.467212
2021-04-09,ATL,PHI,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039
2021-04-09,TEX,SD,historical,,160.0,-190.0,0.369898,0.630102,0,-0.369898
2021-04-09,HOU,OAK,historical,,-178.0,150.0,0.615491,0.384509,0,-0.615491
2021-04-09,ARI,CIN,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101
2021-04-10,NYM,MIA,historical,,-300.0,245.0,0.721254,0.278746,0,-0.721254
2021-04-10,TB,NYY,historical,,118.0,-138.0,0.44169,0.55831,1,0.55831
2021-04-10,MIN,SEA,historical,,-188.0,158.0,0.627445,0.372555,0,-0.627445
2021-04-10,STL,MIL,historical,,-116.0,-102.0,0.515397,0.484603,0,-0.515397
2021-04-10,SF,COL,historical,,-184.0,154.0,0.622019,0.377981,1,0.377981
2021-04-10,HOU,OAK,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374
2021-04-10,PIT,CHC,historical,,134.0,-158.0,0.411011,0.588989,1,0.588989
2021-04-10,BAL,BOS,historical,,110.0,-130.0,0.457256,0.542744,0,-0.457256
2021-04-10,TEX,SD,historical,,138.0,-164.0,0.403472,0.596528,0,-0.403472
2021-04-10,TOR,LAA,historical,,-118.0,100.0,0.519824,0.480176,1,0.480176
2021-04-10,ATL,PHI,historical,,-148.0,126.0,0.574234,0.425766,1,0.425766
2021-04-10,ARI,CIN,historical,,116.0,-136.0,0.445485,0.554515,1,0.554515
2021-04-10,LAD,WAS,historical,,-186.0,156.0,0.624751,0.375249,1,0.375249
2021-04-11,BAL,BOS,historical,,122.0,-144.0,0.43287,0.56713,0,-0.43287
2021-04-11,PIT,CHC,historical,,124.0,-146.0,0.429289,0.570711,1,0.570711
2021-04-11,TB,NYY,historical,,128.0,-152.0,0.42101,0.57899,0,-0.42101
2021-04-11,MIN,SEA,historical,,-186.0,156.0,0.624751,0.375249,0,-0.624751
2021-04-11,CHW,KC,historical,,-130.0,110.0,0.542744,0.457256,0,-0.542744
2021-04-11,STL,MIL,historical,,-132.0,112.0,0.546733,0.453267,0,-0.546733
2021-04-11,TEX,SD,historical,,146.0,-174.0,0.390291,0.609709,0,-0.390291
2021-04-11,SF,COL,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039
2021-04-11,LAD,WAS,historical,,-162.0,136.0,0.59337,0.40663,1,0.40663
2021-04-11,ARI,CIN,historical,,100.0,-118.0,0.480176,0.519824,1,0.519824
2021-04-11,ATL,PHI,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321
2021-04-12,PIT,SD,historical,,198.0,-240.0,0.322214,0.677786,0,-0.322214
2021-04-12,TOR,NYY,historical,,172.0,-205.0,0.353582,0.646418,0,-0.353582
2021-04-12,TB,TEX,historical,,-210.0,176.0,0.651529,0.348471,1,0.348471
2021-04-12,ATL,MIA,historical,,-132.0,112.0,0.546733,0.453267,0,-0.546733
2021-04-12,MIL,CHC,historical,,-142.0,120.0,0.563492,0.436508,1,0.436508
2021-04-12,STL,WAS,historical,,-144.0,122.0,0.56713,0.43287,0,-0.56713
2021-04-12,KC,LAA,historical,,-104.0,-112.0,0.491091,0.508909,0,-0.491091
2021-04-12,HOU,DET,historical,,-270.0,220.0,0.700162,0.299838,0,-0.700162
2021-04-12,ARI,OAK,historical,,114.0,-134.0,0.449343,0.550657,0,-0.449343
2021-04-12,SF,CIN,historical,,-124.0,106.0,0.532788,0.467212,0,-0.532788
2021-04-13,MIN,BOS,historical,,-154.0,130.0,0.582374,0.417626,0,-0.582374
2021-04-13,ARI,OAK,historical,,102.0,-120.0,0.475779,0.524221,0,-0.475779
2021-04-13,PIT,SD,historical,,198.0,-240.0,0.322214,0.677786,1,0.677786
2021-04-13,TOR,NYY,historical,,-110.0,-106.0,0.504452,0.495548,1,0.495548
2021-04-13,TB,TEX,historical,,-178.0,150.0,0.615491,0.384509,0,-0.615491
2021-04-13,ATL,MIA,historical,,-158.0,134.0,0.588989,0.411011,0,-0.588989
2021-04-13,MIL,CHC,historical,,-126.0,108.0,0.536961,0.463039,0,-0.536961
2021-04-13,STL,WAS,historical,,-106.0,-110.0,0.495548,0.504452,1,0.504452
2021-04-13,KC,LAA,historical,,118.0,-138.0,0.44169,0.55831,1,0.55831
2021-04-13,HOU,DET,historical,,-180.0,152.0,0.618321,0.381679,0,-0.618321
2021-04-13,SF,CIN,historical,,-116.0,-102.0,0.515397,0.484603,1,0.484603
2021-04-13,LAD,COL,historical,,-320.0,260.0,0.732824,0.267176,1,0.267176
2021-04-14,TOR,NYY,historical,,108.0,-126.0,0.463039,0.536961,1,0.536961
2021-04-14,STL,WAS,historical,,-134.0,114.0,0.550657,0.449343,0,-0.550657
2021-04-14,MIL,CHC,historical,,-172.0,144.0,0.606755,0.393245,1,0.393245
2021-04-14,KC,LAA,historical,,104.0,-122.0,0.471458,0.528542,1,0.528542
2021-04-14,MIN,BOS,historical,,-148.0,126.0,0.574234,0.425766,0,-0.574234
2021-04-14,SF,CIN,historical,,100.0,-118.0,0.480176,0.519824,1,0.519824
2021-04-14,PIT,SD,historical,,172.0,-205.0,0.353582,0.646418,1,0.646418
2021-04-14,HOU,DET,historical,,-168.0,142.0,0.602704,0.397296,0,-0.602704
2021-04-14,TB,TEX,historical,,-190.0,160.0,0.630102,0.369898,0,-0.630102
2021-04-14,NYM,PHI,historical,,106.0,-124.0,0.467212,0.532788,1,0.532788
2021-04-14,ATL,MIA,historical,,-270.0,220.0,0.700162,0.299838,0,-0.700162
2021-04-14,LAD,COL,historical,,-260.0,215.0,0.694656,0.305344,1,0.305344
2021-04-15,ATL,MIA,historical,,-172.0,144.0,0.606755,0.393245,1,0.393245
2021-04-15,PIT,SD,historical,,138.0,-164.0,0.403472,0.596528,0,-0.403472
2021-04-15,BAL,SEA,historical,,-106.0,-110.0,0.495548,0.504452,0,-0.495548
2021-04-15,MIN,BOS,historical,,-152.0,128.0,0.57899,0.42101,1,0.42101
2021-04-15,WAS,ARI,historical,,-190.0,160.0,0.630102,0.369898,0,-0.630102
2021-04-15,TB,TEX,historical,,-184.0,154.0,0.622019,0.377981,0,-0.622019
2021-04-15,KC,TOR,historical,,-112.0,-104.0,0.508909,0.491091,1,0.491091
2021-04-15,OAK,DET,historical,,-176.0,148.0,0.612621,0.387379,1,0.387379
2021-04-15,LAD,COL,historical,,-270.0,220.0,0.700162,0.299838,1,0.299838
2021-04-16,CHC,ATL,historical,,-118.0,100.0,0.519824,0.480176,0,-0.519824
2021-04-16,PHI,STL,historical,,-142.0,120.0,0.563492,0.436508,1,0.436508
2021-04-16,NYY,TB,historical,,-166.0,140.0,0.599639,0.400361,0,-0.599639
2021-04-16,WAS,ARI,historical,,-200.0,168.0,0.641148,0.358852,1,0.358852
2021-04-16,MIA,SF,historical,,114.0,-134.0,0.449343,0.550657,1,0.550657
2021-04-16,TEX,BAL,historical,,-122.0,104.0,0.528542,0.471458,0,-0.528542
2021-04-16,MIL,PIT,historical,,-144.0,122.0,0.56713,0.43287,0,-0.56713
2021-04-16,LAA,MIN,historical,,-136.0,116.0,0.554515,0.445485,1,0.445485
2021-04-16,OAK,DET,historical,,-198.0,166.0,0.638648,0.361352,1,0.361352
2021-04-16,SD,LAD,historical,,132.0,-154.0,0.415522,0.584478,0,-0.415522
2021-04-16,SEA,HOU,historical,,-110.0,-106.0,0.504452,0.495548,1,0.495548
2021-04-17,NYY,TB,historical,,-110.0,-106.0,0.504452,0.495548,0,-0.504452
2021-04-17,WAS,ARI,historical,,-130.0,110.0,0.542744,0.457256,1,0.457256
2021-04-17,KC,TOR,historical,,110.0,-130.0,0.457256,0.542744,0,-0.457256
2021-04-17,CHC,ATL,historical,,106.0,-124.0,0.467212,0.532788,1,0.532788
2021-04-17,PHI,STL,historical,,-108.0,-108.0,0.5,0.5,0,-0.5
2021-04-17,BOS,CHW,historical,,-126.0,108.0,0.536961,0.463039,1,0.463039
2021-04-17,OAK,DET,historical,,-130.0,110.0,0.542744,0.457256,1,0.457256
2021-04-17,COL,NYM,historical,,225.0,-275.0,0.295567,0.704433,0,-0.295567
2021-04-17,MIA,SF,historical,,-134.0,114.0,0.550657,0.449343,1,0.449343
2021-04-17,TEX,BAL,historical,,-134.0,114.0,0.550657,0.449343,0,-0.550657
