"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
96,519242,"Sale, Chris","2025-09-28",776149,96,100,0.2,0.05,0.364,0.25,0.24,0.269,0.204,4,20,93.2,12.3,2342,86.7,87.08,10,46,50,0.3999999999999915,6.58,102,153,118,147,318,325,296,"1.499","-1.499","71.6","7.6",22,11,3,1,0,0,9,40.9,2,9.1,2.92896,0.19146,0.3025,-0.3025,"91.0",149,63.63636363636363,0,0,4.87,3.11,0.1,2.47,0.273,0,"-1.561458333",0.276,0.332,"1.561458333",-0.004,-0.0030000000000000027,-0.082,-0.029,21.7,"7.6",10.519526381587378,-1.9455631294473394,36.11928050212768,0.16129032258064516,35.47065207976186,31.334566952049695
95,677960,"Weathers, Ryan","2023-08-05",717124,95,100,0.375,0.563,0.444,0.938,0.57,0.364,0.175,6,16,85.7,20.2,2211,91.2,90.39,7,33,62,-0.7999999999999972,5.88,110,149,124,149,309,327,300,"-3.831","3.831","70.0","6.8",21,12,1,3,0,2,5,23.8,4,19,1.97568,0.81779,0.43,-0.18811,"91.8",168,50,25,14.285714285714285,5.82,2.39,-0.37,2.6,0.5,3,"4.032631579",0.34,0.515,"-4.032631579",0.2,0.15999999999999998,0.423,0.206,21.2,"40.4",6.29061654591871,6.672483360598294,30.850172134157848,0.4666666666666667,36.483876867371535,29.489850835916375
94,663399,"Waddell, Brandon","2025-05-28",777737,94,100,0.333,0.333,0.333,0.667,0.411,0.357,0.319,7,21,90.6,21.1,2140,86.6,85.91,6,51,43,-0.6999999999999886,6.16,113,150,117,147,297,326,290,"-2.356","2.356","69.5","7.3",23,19,3,2,1,1,3,13,1,4.3,2.33809,0.77043,0.18979,-0.29723,"90.7",156,31.57894736842105,5.263157894736842,4.3478260869565215,6.05,2.62,0.1,2.43,0.348,1,"2.506382979",0.35,0.467,"-2.506382979",0.014,-0.0020000000000000018,0.2,0.054,11.8,"42.2",12.48588749772904,-0.7739136201667282,32.768346113575525,0.62,37.31695361449323,32.76610634176455
93,607200,"Fedde, Erick","2025-08-22",776645,93,100,0.478,0.304,0.476,0.783,0.549,0.358,0.294,11,23,93.2,11.7,2121,88.2,89.36,11,54,39,1.2000000000000028,6.77,110,144,121,147,315,325,297,"-4.536","4.536","72.5","7.2",25,22,6,4,0,1,1,4,2,8,2.39462,0.53344,0.02217,-0.1063,"92.7",167,59.09090909090909,4.545454545454546,4,5.95,-1.4,-0.14,2.41,0.52,1,"4.877419355",0.35,0.482,"-4.877419355",0.184,0.17000000000000004,0.301,0.191,20.4,"35.9",7.118670708629271,5.847944686917709,34.04443277533235,0.5094339622641509,35.4388151154441,25.44387860730941
91,592229,"Covey, Dylan","2023-05-23",718060,91,100,0.25,0.2,0.357,0.45,0.31,0.202,0.179,5,20,88.4,18,2175,90.4,90.05,8,41,50,-0.30000000000001137,5.96,116,142,115,147,286,307,286,"0.759","-0.759",,,21,14,2,2,1,0,6,28.6,1,4.8,2.23813,0.54956,0.0133,0.0922,"90.9",116,42.857142857142854,0,0,6.37,-1.49,0.44,2.18,0.286,0,"-0.834065934",0.218,0.232,"0.834065934",0.071,0.06799999999999998,0.218,0.108,19.5,"51.2",,,,,,
87,682610,"Muñoz, Roddery","2024-07-05",746046,87,100,0.25,0.125,0.286,0.375,0.351,0.364,0.255,4,16,89.7,21.1,2268,93.7,93.18,6,42,45,-0.5,6.15,108,150,121,148,296,322,299,"-0.984","0.984","72.8","7.3",20,14,2,2,0,0,2,10,4,20,1.75816,0.86241,0.82713,0.46552,"92.8",143,35.714285714285715,7.142857142857142,5,5.61,-1.51,-0.19,2.2,0.4,1,"1.131034483",0.404,0.401,"-1.131034483",-0.005,-0.0040000000000000036,-0.026,-0.013,14.3,"36.6",15.395022298046888,-3.8649682064681286,31.728422567421184,0.6428571428571429,34.61839077357398,33.111229048148964
87,687287,"Monteverde, Patrick","2025-04-19",778252,88,98.9,0.474,0.105,0.6,0.579,0.469,0.324,0.294,9,19,88.6,22.9,2179,85.5,85.3,7,45,42,-0.20000000000000284,6.17,104,146,119,147,295,322,290,"-2.44","2.44","71.9","7.4",20,15,7,2,0,0,4,20,1,5,2.60034,0.5469,-0.0169,-0.13046,"90.8",166,26.666666666666668,6.666666666666667,5,5.93,1.44,0,2.37,0.5,1,"2.804597701",0.33,0.413,"-2.804597701",0.18,0.16999999999999998,0.166,0.145,15.6,"41.5",9.729442718423188,-0.3543424358952295,34.30336331305005,0.4888888888888889,34.61426012281886,29.359656507026983
87,670766,"McCaughan, Darren","2024-05-04",745666,87,100,0.391,0.435,0.333,0.826,0.547,0.47,0.317,9,23,85.3,17.1,2274,85.1,85.46,4,33,54,0.4000000000000057,6.54,115,146,122,145,290,306,282,"-4.416","4.416","69.9","7.3",28,21,5,1,0,3,2,7.1,3,10.7,2.40011,0.77023,0.3946,0.25023,"92.5",164,33.33333333333333,14.285714285714285,10.714285714285714,5.25,-2.67,-0.36,2.39,0.5,3,"5.075862069",0.439,0.667,"-5.075862069",0.074,0.061,0.159,0.077,12.1,"27.2",11.815000160446798,-8.268895197401037,33.05581712504008,0.46875,34.56025787214415,34.54747470114111
86,665795,"Cabrera, Edward","2023-09-12",716610,86,100,0.067,0.2,0,0.267,0.294,0.356,0.13,1,15,89.8,22.1,2167,93.2,93.71,11,31,55,0.5,6.69,108,152,116,149,299,301,280,"-0.127","0.127","68.9","7.3",21,10,0,0,0,1,5,23.8,6,28.6,2.05035,0.59814,0.66547,0.23663,"91.7",176,33.33333333333333,11.11111111111111,4.761904761904762,6.08,-1.72,-0.2,1.86,0.333,1,"0.147674419",0.391,0.382,"-0.147674419",-0.063,-0.057999999999999996,-0.115,-0.062,35.5,"42.3",9.933378734534758,-2.0938681828745946,29.815598818806716,0.6,37.17389560455148,30.26270014215281
80,689167,"Lindgren, Jeff","2023-04-03",718729,80,100,0.222,0.167,0.222,0.389,0.317,0.317,0.204,4,18,91.7,25.9,2250,86.2,86.19,6,34,46,0,6.45,105,147,125,148,303,322,290,"-0.168","0.168",,,21,18,2,1,1,0,0,0,3,14.3,2.14012,0.97925,0.37138,0.22738,"93.0",198,50,11.11111111111111,9.523809523809524,5.61,-2.38,-0.18,2.11,0.333,2,"0.21",0.318,0.396,"-0.21",0.018,0.015000000000000013,-0.007,0,17.6,"39.2",,,,,,
