"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
11,676632,"Madris, Bligh","2023-07-07",717453,11,100,0.333,1,0,1.333,0.675,0.696,0.441,1,3,93.9,24.3,1694,66.7,64.91,0,4,7,-1.7999999999999972,4.89,120,147,127,146,275,327,295,"-0.975","0.975",,,4,3,0,0,0,1,0,0,1,25,4.16636,1.00545,0.33182,-0.02091,"97.1",223,66.66666666666666,33.33333333333333,25,6.78,-1.09,0.06,2.22,0.5,1,"8.863636364",0.581,1.253,"-8.863636364",-0.108,-0.08099999999999996,0.08,-0.021,0,"56.1",,,,,,
11,681869,"Dubin, Shawn","2025-06-10",777567,11,100,0,0,0,0,0.173,0.2,0.039,0,3,89.4,-9,2367,89,88.55,1,4,7,-0.5,6.37,112,150,114,150,294,323,295,"0.458","-0.458","60.4","6.8",4,1,0,0,0,0,2,50,1,25,2.80545,0.15818,0.27545,0.05727,"88.5",38,0,0,0,5.94,-1.74,0.08,2.39,0.25,0,"-4.163636364",0.279,0.039,"4.163636364",-0.039,-0.029000000000000026,-0.039,-0.027,25,"39.3",6.42165542475695,1.6081580476931383,36.53745678828853,0.75,29.79121335935241,31.353343400444828
11,519326,"Strickland, Hunter","2024-06-25",746213,12,91.7,0,0,0,0,0,0.167,0.097,0,3,96.4,37.5,2560,89.6,89.06,1,5,6,-0.5,6.16,112,154,114,150,311,323,298,"0.789","-0.789","71.5","6.5",3,2,0,0,0,0,1,33.3,0,0,2.04909,0.84364,0.00273,0.00273,"92.2",226,100,0,0,5.83,-3.03,0.17,2.48,0,0,"-7.172727273",0.097,0.318,"7.172727273",-0.097,-0.097,-0.318,-0.167,20,"31.9",5.019715785092414,5.4301555375075035,32.31363920511733,0.6,35.54512765478569,25.72712096427457
11,543507,"May, Trevor","2023-08-19",716930,11,100,0.25,0,0.25,0.25,0.221,0.374,0.374,1,4,84.4,11.5,2223,89.6,90.84,0,6,5,1.2000000000000028,7.02,102,138,101,150,293,332,295,"0.437","-0.437","69.6","7.0",4,4,1,0,0,0,0,0,0,0,1.98545,0.86636,0.48364,-0.27636,"90.1",173,25,0,0,5.77,-1.46,-0.24,2.58,0.25,0,"-3.972727273",0.374,0.492,"3.972727273",-0.124,-0.124,-0.242,-0.153,0,"41.1",6.198264955823015,0.47167111678340756,33.38629312156851,0.5,36.61240129263462,26.964445416172275
11,547184,"Kelly, Michael","2024-05-14",746396,11,100,0.5,0,0.5,0.5,0.441,0.373,0.314,1,2,87.2,19,2625,86.7,86.05,1,6,5,-0.6000000000000085,6.06,86,107,82,121,280,298,269,"-0.18","0.18","42.9","4.2",2,2,1,0,0,0,0,0,0,0,3.00818,0.07636,-0.90545,-0.61091,"89.2",249,0,0,0,6.31,-1.18,0.09,2.77,0.5,0,"1.636363636",0.314,0.563,"-1.636363636",0.186,0.186,-0.063,0.068,16.7,"37.4",5.494295695294284,9.180190517061714,34.229224596798396,0,40.691777077132805,22.27505945199259
11,669674,"Long, Sam","2023-05-21",718086,11,100,0,0,0,0,0.232,0.269,0.053,0,2,95.8,13,2270,85.9,85.1,1,3,8,-0.8000000000000114,6.08,115,139,110,151,291,322,307,"0.219","-0.219",,,3,2,0,0,0,0,0,0,1,33.3,2.54,0.65455,0.42273,-0.14455,"95.7",138,50,0,0,6.1,1.06,-0.44,2.26,0.333,0,"-1.990909091",0.369,0.056,"1.990909091",-0.053,-0.035999999999999976,-0.056,-0.037,33.3,"55.9",,,,,,
11,696270,"Johnson, Ryan","2025-05-08",778000,11,100,1,0,1,1,0.819,0.709,0.781,2,2,87.1,17,2468,89.9,89.72,1,6,5,-0.20000000000000284,6.25,97,147,113,145,313,323,307,"-1.335","1.335","70.3","7.7",3,2,2,0,0,0,0,0,1,33.3,2.41364,0.43727,-0.19545,0.00818,"91.0",205,50,0,0,5.93,-2.85,0.45,1.98,1,0,"12.136363636",0.854,0.853,"-12.136363636",0.219,0.14600000000000002,0.147,0.11,16.7,"25.6",8.303481773152676,-5.49268678166063,37.86120599463267,0.6666666666666666,38.57783904265784,30.64673867242989
11,642100,"Speier, Gabe","2025-04-08",778398,11,100,0,0,0,0,0,0.556,0.335,0,3,93.9,25.3,2335,90.9,90.24,1,7,4,-0.7000000000000028,5.95,114,150,129,149,289,321,299,"0.773","-0.773","69.6","7.8",3,3,0,0,0,0,0,0,0,0,2.09,0.71545,0.50818,-0.06091,"92.2",252,66.66666666666666,33.33333333333333,33.33333333333333,5.36,1.89,-0.01,2.44,0,1,"-7.027272727",0.335,1.021,"7.027272727",-0.335,-0.335,-1.021,-0.556,14.3,"28.5",6.3706675856912165,-11.822796501676558,31.03638090205595,0.42857142857142855,42.26181245441899,29.70505279622201
11,663462,"Campbell, Isaiah","2023-09-18",716527,11,100,0,0,0,0,0.174,0.378,0.224,0,3,93.9,15.7,2521,91.2,91.47,1,5,6,0.29999999999999716,6.43,114,153,124,146,291,326,293,"0.472","-0.472","69.2","6.4",4,3,0,0,0,0,0,0,1,25,1.89364,0.86727,-0.27727,-0.27727,"92.4",204,0,0,0,6.6,-1.83,0.29,2.24,0.25,0,"-4.290909091",0.418,0.42,"4.290909091",-0.224,-0.16799999999999998,-0.42,-0.204,20,"49.9",1.8462849245913004,8.250771588794503,31.380925615182154,0.2,33.67801451739447,26.84922648066077
11,650556,"Abreu, Bryan","2025-05-13",777931,11,100,0,0,0,0,0,0.122,0.121,0,3,89.4,23,2722,88.9,88.56,2,5,6,-0.30000000000001137,6.5,121,152,106,151,294,322,299,"0.773","-0.773","72.5","8.2",3,2,0,0,0,0,1,33.3,0,0,2.89636,0.05727,-0.36727,-0.28545,"91.0",190,50,0,0,5.74,-2.35,-0.07,2.29,0,0,"-7.027272727",0.121,0.161,"7.027272727",-0.121,-0.121,-0.161,-0.122,40,"42.5",16.59550680995109,-20.60521667085,29.36524191220519,0.8,37.08126396599844,40.53199818416304
