"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
98,605288,"Houser, Adrian","2021-06-01",633878,98,100,0.25,0.15,0.308,0.4,0.314,0.278,0.221,5,20,87,-8.7,2009,89.5,89.79,13,46,52,0.29999999999999716,6.48,108,152,116,149,299,317,300,"0.394","-0.394",,,22,14,4,0,0,1,6,27.3,2,9.1,2.63857,0.25,0.70786,-0.18765,"91.3",115,50,7.142857142857142,4.545454545454546,6.03,-1.32,-0.12,1.78,0.318,1,"-0.402040816",0.292,0.324,"0.402040816",0.029,0.026000000000000023,0.076,0.036,28.3,"47.2",,,,,,
95,669920,"Alexander, Jason","2022-07-17",662059,95,100,0.364,0.318,0.4,0.682,0.467,0.36,0.232,8,22,94.2,15.2,2111,88.1,88.33,8,39,56,0.20000000000000284,6.3,108,148,118,144,291,312,294,"-3.162","3.162",,,24,17,5,1,0,2,5,20.8,2,8.3,2.77168,0.1867,0.78495,-0.11905,"93.5",159,56.25,25,16.666666666666664,5.45,-1.96,0.03,1.89,0.417,4,"3.328421053",0.299,0.554,"-3.328421053",0.132,0.118,0.128,0.107,20.5,"21.1",,,,,,
91,669060,"Wilson, Bryse","2022-05-16",663151,91,100,0.333,0.167,0.333,0.5,0.385,0.389,0.342,8,24,84.9,4.7,1972,90.1,90.64,6,45,46,0.5,6.59,105,155,125,152,303,327,303,"-1.569","1.569",,,26,22,6,1,0,1,2,7.7,2,7.7,2.24857,0.60433,0.67363,0.29802,"92.6",141,38.095238095238095,4.761904761904762,3.8461538461538463,5.21,-2.68,-0.28,2.67,0.385,1,"1.724175824",0.395,0.499,"-1.724175824",-0.009,-0.010000000000000009,0.001,-0.004,13.3,"34.1",,,,,,
91,607067,"Rea, Colin","2021-10-02",632260,91,100,0.304,0.348,0.294,0.652,0.381,0.355,0.26,7,23,92.1,30,2080,88,88.55,11,44,47,0.5,6.46,112,157,129,148,298,321,299,"-1.247","1.247",,,24,19,3,2,0,2,5,20.8,0,0,2.26011,0.6967,0.35462,0.05879,"92.7",199,52.63157894736842,15.789473684210526,12.5,5.75,-1.42,0.4,2.23,0.292,3,"1.37032967",0.26,0.577,"-1.37032967",0.044,0.03199999999999997,0.075,0.026,25,"41.1",,,,,,
88,669713,"Wesneski, Hayden","2022-09-11",663130,88,100,0.267,0.4,0.2,0.667,0.413,0.292,0.175,4,15,87.6,7.7,2275,89,89.49,8,47,41,0.5,6.73,112,155,115,148,303,327,293,"-0.463","0.463",,,16,12,2,0,0,2,3,18.8,1,6.3,2.4025,0.51989,0.10761,0.02875,"91.1",148,41.66666666666667,16.666666666666664,12.5,5.55,-1.93,0.13,2.47,0.313,2,"0.526136364",0.227,0.455,"-0.526136364",0.092,0.086,0.212,0.121,17,"36.4",,,,,,
86,667373,"Rondón, Angel","2022-05-22",662479,86,100,0.059,0,0.077,0.059,0.148,0.296,0.205,1,17,89.4,26.4,1963,88,88.71,9,37,49,0.7000000000000028,6.7,114,158,130,154,301,324,299,"1.615","-1.615",,,20,13,1,0,0,0,4,20,3,15,2.19326,0.78047,0.49894,-0.37565,"90.8",184,30.76923076923077,0,0,5.84,-2.13,-0.17,2.32,0.2,0,"-1.877906977",0.324,0.322,"1.877906977",-0.146,-0.124,-0.263,-0.148,24.3,"45.9",,,,,,
84,659262,"Espinoza, Anderson","2022-05-30",663147,84,100,0.143,0.286,0.143,0.429,0.36,0.313,0.133,2,14,87.3,3.6,1962,89.6,89.44,7,27,57,-0.19999999999998863,6.06,106,152,119,146,293,323,287,"-0.964","0.964",,,19,8,0,1,0,1,6,31.6,3,15.8,2.06595,0.80976,0.3644,0.22321,"91.8",141,25,12.5,5.263157894736842,6.02,-2.03,0.05,2.44,0.368,1,"1.147619048",0.361,0.279,"-1.147619048",0.01,0.007000000000000006,0.15,0.047,25.9,"44.3",,,,,,
82,605507,"Thompson, Zach","2022-08-26",661603,82,100,0.2,0.05,0.222,0.25,0.196,0.339,0.323,4,20,90.8,8.3,2371,84.8,84.96,13,42,40,0.20000000000000284,6.41,113,162,118,150,285,320,295,"1.392","-1.392",,,20,18,3,1,0,0,2,10,0,0,3.12561,0.1139,-0.18756,-0.12268,"92.7",124,50,0,0,6.73,-0.83,0.3,2.13,0.2,0,"-1.697560976",0.323,0.458,"1.697560976",-0.123,-0.123,-0.208,-0.143,31,"48.4",,,,,,
80,458676,"Lindblom, Josh","2021-04-23",634426,80,100,0.45,0.65,0.5,1.1,0.643,0.492,0.332,9,20,96.8,16.7,2511,85.8,85.69,9,39,41,-0.09999999999999432,6.4,109,151,119,148,304,331,296,"-7.748","7.748",,,23,15,3,2,1,3,5,21.7,3,13,2.10775,1.07101,0.25788,-0.00713,"94.6",168,66.66666666666666,33.33333333333333,21.73913043478261,5.92,-2.54,0.37,2.29,0.522,5,"9.685",0.419,0.776,"-9.685",0.118,0.10300000000000004,0.324,0.151,23.1,"38.5",,,,,,
80,641778,"Lauer, Eric","2021-06-09",633791,80,100,0.143,0.071,0.25,0.214,0.272,0.257,0.104,2,14,89.5,37.8,2278,90,89.51,12,36,44,-0.5,6.02,104,151,125,146,294,322,292,"0.318","-0.318",,,18,8,1,1,0,0,6,33.3,4,22.2,1.72863,1.108,0.55925,-0.3365,"89.4",171,25,12.5,5.555555555555555,6.03,2.26,-0.18,2.63,0.333,1,"-0.3975",0.303,0.215,"0.3975",0.039,0.030000000000000027,-0.001,0.015,33.3,"38.5",,,,,,
