"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
101,676596,"Fleming, Josh","2021-08-16",632890,101,100,0.273,0.091,0.3,0.364,0.309,0.31,0.262,6,22,84,16,1780,86.5,86.57,9,48,53,0.09999999999999432,6.42,106,153,119,152,305,323,286,"0.437","-0.437",,,25,21,4,2,0,0,2,8,1,4,2.74703,0.33475,0.81089,-0.50218,"90.4",141,28.57142857142857,4.761904761904762,4,5.38,2.23,0.48,2.15,0.333,1,"-0.432673267",0.323,0.379,"0.432673267",0.011,0.010000000000000009,-0.015,-0.001,18.8,"28.9",,,,,,
95,543901,"Weber, Ryan","2021-06-13",633728,95,100,0.481,0.519,0.529,1,0.602,0.479,0.354,13,27,94.7,5.9,2068,84.8,83.48,14,47,48,-1.2999999999999972,5.4,108,152,122,147,279,329,305,"-8.362","8.362",,,30,21,7,2,0,4,7,23.3,2,6.7,3.36853,-0.16022,0.59316,0.41505,"95.2",136,52.63157894736842,21.052631578947366,13.333333333333334,5,-2.01,0.21,2.04,0.5,4,"8.802105263",0.39,0.79,"-8.802105263",0.127,0.10999999999999999,0.21,0.123,29.8,"18.6",,,,,,
88,642232,"Yarbrough, Ryan","2021-04-24",634358,88,100,0.158,0,0.231,0.158,0.193,0.203,0.155,3,19,81.7,24.4,2156,80.2,80.8,11,42,46,0.5999999999999943,6.86,106,167,124,145,309,324,290,"2.634","-2.634",,,21,13,3,0,0,0,6,28.6,1,4.8,2.98784,0.61205,0.10807,-0.2067,"90.3",156,23.076923076923077,0,0,5.19,2.96,0.27,2.63,0.238,0,"-2.993181818",0.236,0.184,"2.993181818",0.003,0.0020000000000000018,-0.026,-0.01,26.2,"22.8",,,,,,
87,642232,"Yarbrough, Ryan","2021-04-18",634458,87,100,0.118,0.059,0.154,0.176,0.211,0.341,0.227,2,17,79.7,19.8,2258,80,80.27,12,43,44,0.29999999999999716,6.53,105,152,120,153,312,321,288,"1.809","-1.809",,,20,13,1,1,0,0,4,20,2,10,3.0777,0.52138,0.3154,-0.52115,"90.4",154,15.384615384615385,15.384615384615385,10,5.13,2.75,0.18,2.4,0.25,2,"-2.079310345",0.343,0.416,"2.079310345",-0.109,-0.09300000000000003,-0.24,-0.13,27.9,"22.1",,,,,,
84,669145,"Zimmermann, Bruce","2021-05-16",634086,84,100,0.105,0.158,0.083,0.263,0.179,0.251,0.18,2,19,81.1,2.4,2332,88.8,88.44,10,42,42,-0.3999999999999915,6.15,112,151,123,150,307,328,292,"2.196","-2.196",,,20,13,1,0,0,1,6,30,1,5,2.14857,0.76274,0.83381,-0.76571,"90.6",90,30.76923076923077,7.6923076923076925,5,6.18,0.82,0.08,2.65,0.15,1,"-2.614285714",0.221,0.349,"2.614285714",-0.075,-0.07100000000000001,-0.086,-0.072,23.8,"44.6",,,,,,
80,642232,"Yarbrough, Ryan","2021-09-24",632358,80,100,0.105,0.053,0.133,0.158,0.142,0.293,0.209,2,19,85,23.4,2074,78.2,78.24,6,40,40,0,6.48,110,152,120,151,291,320,299,"3.195","-3.195",,,20,15,1,1,0,0,4,20,0,0,3.22375,0.59362,0.11215,-0.23291,"90.8",154,40,13.333333333333334,10,5.18,3.01,0.16,2.31,0.15,2,"-3.99375",0.249,0.435,"3.99375",-0.104,-0.099,-0.277,-0.151,15,"22.9",,,,,,
79,669211,"Akin, Keegan","2021-07-10",633350,79,100,0.333,0.111,0.5,0.444,0.352,0.397,0.329,6,18,88.6,11.1,2295,89.2,88.56,11,39,40,-0.6000000000000085,5.95,112,152,123,148,295,317,292,"-0.452","0.452",,,19,12,4,2,0,0,6,31.6,1,5.3,1.87544,1.04064,0.56354,-0.19291,"91.5",164,50,8.333333333333332,5.263157894736842,5.83,2.52,0.02,2.54,0.368,1,"0.572151899",0.365,0.563,"-0.572151899",0.004,0.0030000000000000027,-0.119,-0.045,28.2,"43.7",,,,,,
79,676596,"Fleming, Josh","2021-05-23",633975,79,100,0.308,0.231,0.273,0.538,0.37,0.373,0.332,8,26,91.1,5.9,1713,86.1,86.22,6,46,33,0.10000000000000853,6.28,108,156,112,150,302,312,285,"-0.856","0.856",,,27,24,6,0,0,2,2,7.4,1,3.7,2.78886,0.29316,0.74564,-0.74564,"93.6",143,41.66666666666667,8.333333333333332,7.4074074074074066,5.57,2.49,0.29,2.13,0.333,2,"1.083544304",0.357,0.511,"-1.083544304",-0.024,-0.023999999999999966,0.027,-0.003,13,,,,,,,
77,642232,"Yarbrough, Ryan","2021-09-13",632489,77,100,0.588,0.294,0.6,0.882,0.63,0.415,0.394,10,17,89.3,7.8,2065,80.6,80.51,2,35,42,-0.09999999999999432,6.45,104,151,112,144,301,329,291,"-4.836","4.836",,,18,16,7,2,0,1,1,5.6,1,5.6,3.06091,0.5074,0.54623,-0.54623,"91.8",112,50,6.25,5.555555555555555,5.32,2.81,-0.13,2.11,0.611,1,"6.280519481",0.427,0.53,"-6.280519481",0.194,0.184,0.352,0.215,5.7,"24.7",,,,,,
76,548389,"Stripling, Ross","2021-05-24",633963,76,100,0.095,0.095,0.143,0.19,0.191,0.244,0.173,2,21,88.5,1.7,2167,86.9,86.46,12,39,37,-0.4000000000000057,5.98,105,153,117,151,296,317,289,"2.808","-2.808",,,24,14,0,2,0,0,7,29.2,2,8.3,2.28697,0.76987,0.07787,-0.09013,"91.6",127,35.714285714285715,0,0,7.05,-1.23,-0.15,2.32,0.208,0,"-3.694736842",0.276,0.236,"3.694736842",-0.078,-0.06800000000000003,-0.046,-0.053,30.8,"68.6",,,,,,
76,669211,"Akin, Keegan","2021-05-20",634120,76,100,0.385,0,0.5,0.385,0.339,0.248,0.218,5,13,89.8,1.8,2263,87.7,87.01,12,39,37,-0.7000000000000028,6.12,109,148,122,151,297,328,300,"-0.145","0.145",,,15,10,5,0,0,0,4,26.7,1,6.7,1.78355,1.2425,0.89987,0.32671,"91.8",141,50,0,0,5.81,2.41,-0.16,2.35,0.4,0,"0.190789474",0.26,0.29,"-0.190789474",0.167,0.14,0.095,0.091,30.8,"45.0",,,,,,
75,642232,"Yarbrough, Ryan","2021-09-30",632292,75,100,0.235,0.235,0.231,0.471,0.317,0.318,0.283,4,17,82.2,16.7,2102,77.4,77.78,7,36,39,0.3999999999999915,6.63,111,150,127,150,288,320,298,"0.653","-0.653",,,19,15,2,1,0,1,3,15.8,1,5.3,3.3284,0.53453,0.0644,-0.2212,"91.6",167,46.666666666666664,0,0,5.16,2.99,0.14,2.33,0.278,0,"-0.870666667",0.323,0.408,"0.870666667",-0.048,-0.044999999999999984,0.063,-0.001,19.4,"20.6",,,,,,
75,643615,"Zeuch, T.J.","2021-04-09",634512,75,100,0.375,0.5,0.333,0.875,0.544,0.517,0.333,6,16,92.1,-5.3,1998,88.1,88.32,6,29,46,0.20000000000000284,6.46,89,153,119,145,298,318,282,"-3.9","3.9",,,19,14,2,2,0,2,2,10.5,3,15.8,2.34653,0.63053,0.94676,0.26649,"93.3",128,66.66666666666666,25,15.789473684210526,6.35,-1.18,-0.13,1.94,0.474,3,"5.2",0.451,0.823,"-5.2",0.042,0.022999999999999965,0.052,0.027,20.7,"37.5",,,,,,
75,676596,"Fleming, Josh","2021-05-30",633892,75,100,0.235,0,0.333,0.235,0.207,0.261,0.272,4,17,83.7,11.2,1810,87.7,87.8,10,34,41,0.09999999999999432,6.56,105,153,118,150,306,321,288,"1.888","-1.888",,,17,12,4,0,0,0,5,29.4,0,0,2.69307,0.32311,1.02947,-0.67133,"92.6",158,33.33333333333333,0,0,5.45,2.68,0.61,2.15,0.235,0,"-2.517333333",0.272,0.334,"2.517333333",-0.037,-0.03700000000000003,-0.099,-0.054,29.4,"31.0",,,,,,
