"pitches","player_id","player_name","game_date","game_pk","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
30,476595,"Luetge, Lucas","2022-09-07",661235,30,100,0.3,0.1,0.429,0.4,0.303,0.436,0.368,3,10,81.8,18.6,2623,80.4,80.12,4,11,19,-0.30000000000001137,6.2,105,158,115,152,290,329,283,"0.559","-0.559",,,10,7,2,1,0,0,3,30,0,0,3.77767,-0.16567,-0.97133,0.34067,"92.5",186,28.57142857142857,14.285714285714285,10,6.06,0.58,-0.41,1.56,0.3,1,"-1.863333333",0.368,0.649,"1.863333333",-0.068,-0.068,-0.249,-0.133,36.4,"42.4",,,,,,
30,670167,"Schreiber, John","2022-08-13",663176,30,100,0.333,0.111,0.6,0.444,0.372,0.322,0.192,3,9,83.6,-10.6,2439,89,89.37,6,14,16,0.4000000000000057,6.53,116,150,117,149,284,327,296,"-0.059","0.059",,,10,5,2,1,0,0,4,40,1,10,2.86267,0.04867,0.38433,0.305,"91.9",125,40,20,10,3.95,-2.95,0.07,2.04,0.4,1,"0.196666667",0.273,0.487,"-0.196666667",0.141,0.127,-0.043,0.05,42.9,"0.7",,,,,,
30,657508,"Baumann, Mike","2022-04-24",661033,30,100,0.2,0,0.25,0.2,0.328,0.3,0.124,1,5,86.4,34,2212,94.2,94.4,1,9,21,0.20000000000000284,6.57,111,153,107,148,301,320,294,"-0.012","0.012",,,7,4,1,0,0,0,1,14.3,1,14.3,1.54567,1.06267,0.0869,0.09793,"90.6",241,50,0,0,6.33,-1.78,0.33,2.72,0.429,0,"0.04",0.374,0.2,"-0.04",0.076,0.05499999999999999,0,0.028,11.1,"52.3",,,,,,
30,669084,"Hall, DL","2022-09-09",663456,30,100,0.2,0,0.2,0.2,0.262,0.262,0.192,1,5,83.9,17.4,2416,91.6,92.1,6,17,13,0.5,6.72,103,152,118,147,305,317,303,"0.282","-0.282",,,6,5,1,0,0,0,0,0,1,16.7,1.93967,0.81267,-0.026,-0.38533,"89.5",127,20,0,0,5.71,3.1,0.07,2.33,0.333,0,"-0.94",0.327,0.203,"0.94",0.008,0.006000000000000005,-0.003,0,35.3,"42.3",,,,,,
30,554340,"García, Yimi","2022-08-27",661703,30,100,0.25,0,0.333,0.25,0.377,0.29,0.097,1,4,80.3,-13.3,2545,91.9,90.88,2,13,17,-1,5.66,105,150,116,147,289,316,292,"-0.072","0.072",,,6,3,1,0,0,0,1,16.7,2,33.3,2.065,0.65733,0.194,0.28,"89.0",89,0,0,0,5.13,-2.69,-0.02,2.18,0.5,0,"0.24",0.398,0.108,"-0.24",0.153,0.10199999999999998,0.142,0.087,15.4,"21.8",,,,,,
30,670950,"Richards, Trevor","2022-05-05",663066,30,100,0.286,0,0.5,0.286,0.253,0.182,0.201,2,7,85.8,13,2199,85.7,85.92,3,12,18,0.20000000000000284,6.39,98,156,120,147,276,312,282,"0.493","-0.493",,,7,4,2,0,0,0,3,42.9,0,0,2.40533,0.70933,0.553,-0.22767,"90.9",122,25,0,0,6.28,-2.43,-0.27,2.37,0.286,0,"-1.643333333",0.201,0.217,"1.643333333",0.085,0.08499999999999996,0.069,0.071,25,"52.2",,,,,,
30,621381,"Strahm, Matt","2022-05-16",663275,30,100,0.167,0.167,0.333,0.333,0.283,0.299,0.133,1,6,89.6,29.7,2500,89.1,89.09,5,17,13,0,6.28,118,164,119,151,283,325,295,"0.389","-0.389",,,7,3,0,1,0,0,3,42.9,0,0,2.31933,0.583,0.435,0.18633,"90.9",165,33.33333333333333,33.33333333333333,14.285714285714285,5.41,2.87,0.1,2.73,0.286,1,"-1.296666667",0.257,0.429,"1.296666667",0.034,0.02899999999999997,-0.096,-0.016,29.4,"35.7",,,,,,
30,598265,"Bradley Jr., Jackie","2022-07-08",663202,30,100,0.25,0,0.333,0.25,0.421,0.43,0.234,1,4,81.7,19,2170,82.4,81.7,2,11,19,-0.7000000000000028,5.81,118,146,132,149,287,328,306,"-0.65","0.65",,,7,3,1,0,0,0,1,14.3,3,42.9,2.14033,1.34567,0.236,0.23733,"92.4",215,33.33333333333333,0,0,6.19,-1.45,0.43,3.45,0.571,0,"2.166666667",0.562,0.303,"-2.166666667",0.016,0.008999999999999897,-0.053,-0.009,18.2,"45.9",,,,,,
30,670950,"Richards, Trevor","2022-09-28",661737,30,100,0,0,0,0,0,0.011,0.01,0,7,82.9,33,2331,90,89.84,7,13,17,-0.20000000000000284,6.36,116,156,119,149,310,327,298,"1.764","-1.764",,,7,3,0,0,0,0,4,57.1,0,0,1.62867,1.22467,0.64276,0.09103,"90.9",182,0,0,0,6.23,-2.3,0.17,2.31,0,0,"-5.88",0.01,0.015,"5.88",-0.01,-0.01,-0.015,-0.011,53.8,"52.7",,,,,,
30,664126,"Fairbanks, Pete","2022-09-13",661840,30,100,0.2,0,0.333,0.2,0.177,0.189,0.209,1,5,81.9,1.3,2491,95,95.19,4,17,13,0.20000000000000284,6.56,111,156,112,148,298,334,305,"0.685","-0.685",,,6,3,1,0,0,0,2,33.3,0,0,1.67633,0.89333,-0.08967,-0.08567,"89.4",158,33.33333333333333,0,0,7.02,-0.23,0.11,2.7,0.2,0,"-2.283333333",0.209,0.213,"2.283333333",-0.009,-0.00899999999999998,-0.013,-0.012,23.5,"61.1",,,,,,
