key_retro,key_fangraphs,key_mlbam,name_last,name_first
sents101,1011748,122003,Senteney,Steve
fanwh101,1003927,114004,Fanwell,Harry
junij001,13619,596001,Junis,Jakob
nerih001,11804,593576,Neris,Héctor
beama101,1000707,110726,Beam,Alex
ramow001,1433,467092,Ramos,Wilson
reyej003,5559,457456,Reyes,Jo-Jo
ottog001,21366,657248,Otto,Glenn
halie101,1005228,115333,Halicki,Ed
pachj001,2677,457574,Pacheco,Jordan
satij001,6788,543744,Satin,Josh
zeilt001,457,124755,Zeile,Todd
schlb101,1011568,121820,Schlitzer,Victor
millj006,8580,502522,Miller,Justin
chavj001,5448,445926,Chavez,Jesse
howac001,1006072,116199,Howard,Chris
castr101,1002074,112126,Castleton,Roy
clarb002,1002269,112339,Clark,Bobby
derrp101,1003224,113285,Derringer,Paul
hayeb001,4293,451109,Hayes,Brett
pearj001,1175,407870,Pearce,Josh
goodh001,29715,696100,Goodman,Hunter
lemkm001,1007516,117668,Lemke,Mark
harrr101,1005429,115545,Harrison,Rit
merum001,1008797,118985,Merullo,Matt
ketcf101,1006881,117029,Ketchum,Fred
kuror101,1007214,117368,Kurosaki,Ryan
rozed101,1011272,121522,Rozek,Dick
corrf101,1002640,112703,Corridon,Frank
nilat101,1009597,119800,Niland,Tom
heale101,1005547,115663,Healy,Egyptian
carrc106,1001985,112027,Carr,Charlie
reedh101,1010767,120992,Reid,Hugh
gioll001,15474,608337,Giolito,Lucas
shaus101,1011812,122069,Shaughnessy,Shag
olive001,19698,658668,Olivares,Edward
brazf101,1001370,111408,Brazill,Frank
brilf101,1001433,111470,Brill,Frank
dohee101,1003356,113420,Doheny,Ed
benns001,1000847,110875,Bennett,Shayne
gerkg101,1004633,114717,Gerken,George
freec003,25629,683227,Freeman,Cody
dailj101,1002929,112994,Dailey,John
locat001,15124,641796,Locastro,Tim
barka001,1000544,406723,Barkett,Andy
zimmj003,4505,519455,Zimmermann,Jordan
sandr101,1011421,121675,Sanders,Roy
beasj001,20205,676886,Beasley,Jeremy
cantt101,1001923,111967,Cantwell,Tom
millj107,1008958,119141,Mills,Jack
fordh001,29958,695670,Ford,Harry
lakee101,1007260,117415,Lake,Eddie
birdk001,16618,613317,Bird,Kyle
whitg102,1013876,124205,Whiteley,Guerdon
makof101,1008007,118182,Makosky,Frank
baptt001,1000521,136270,Baptist,Travis
macwk101,1007937,118106,MacWhorter,Keith
herry001,7759,506648,Herrera,Yoslán
kerrj102,1006874,117017,Kerr,John
clare101,1002279,112321,Clark,Ed
heatn001,1005568,115683,Heaton,Neal
egbej001,7487,455090,Egbert,Jack
reidb102,1010792,121028,Reid,Billy
nevip001,1049,119732,Nevin,Phil
whitj106,1013879,124177,White,Jack
colej106,1002423,112475,Coleman,Jerry
laudt001,1007381,117537,Laudner,Tim
steej001,1012453,122710,Steels,James
oterd001,7385,519096,Otero,Dan
margj101,1008105,118282,Margoneri,Joe
assaj001,21741,665871,Assad,Javier
chead101,1002170,112224,Cheadle,Dave
johna001,733,407053,Johnson,Adam
plawk001,13807,608700,Plawecki,Kevin
smitd105,1012116,122370,Smith,Dave
barrs101,1000619,110634,Barry,John
keenj103,1006750,116898,Keenan,Jimmie
holba001,1960,116058,Holbert,Aaron
kuhej101,1007202,117356,Kuhel,Joe
knoxc101,1007062,117215,Knox,Cliff
danij102,1002972,113038,Daniels,Jack
depaj003,2786,451546,De Paula,Julio
chouj001,28806,694192,Chourio,Jackson
hovlj101,1006070,116196,Hovlik,Joe
slusj001,1012071,122330,Slusarski,Joe
bottr001,948,111262,Bottalico,Ricky
campg001,22707,672569,Campero,Gustavo
milej101,1008863,119051,Miles,Jim
ynoar001,2832,501255,Ynoa,Rafael
baked102,1000448,110468,Baker,Del
chrim101,1002219,112260,Chris,Mike
despo001,16017,628333,Despaigne,Odrisamer
cassh101,1002049,112096,Cassady,Harry
raglf101,1010651,120887,Ragland,Frank
mitcd101,1009000,119197,Mitchell,Dale
muram101,1009336,119534,Murakami,Masanori
wortc101,1014265,124587,Wortman,Chuck
mcfah101,1008493,118676,McFarland,Howie
ripla101,1010979,121224,Ripley,Allen
hudlr001,1006131,116258,Hudler,Rex
carrb001,8066,448276,Carroll,Brett
lewad101,1007572,117727,Lewallyn,Dennis
figub001,1004036,114115,Figueroa,Bien
parkc001,1009999,120230,Parker,Clay
jacob002,2368,430944,Jacobsen,Bucky
harmb101,1005371,115485,Harmon,Bob
cruzh102,1002840,112900,Cruz,Henry
navad002,5450,537953,Nava,Daniel
tannj101,1012822,123086,Tannehill,Jesse
greer001,1252,115114,Greer,Rusty
gland001,956,114844,Glanville,Doug
millj108,1008944,119136,Milligan,John
schup001,10029,572119,Schuster,Patrick
kille101,1006908,117057,Killian,Ed
turnd001,1694,276913,Turnbow,Derrick
hassa002,9959,572910,Hassan,Alex
cheeh101,1002173,112227,Cheek,Harry
mclab103,1008607,118791,McLaughlin,Barney
gonss001,15492,624427,Gonsalves,Stephen
collo102,1002459,112497,Collier,Orlin
carmc101,1001970,112014,Carmichael,Chet
grieb001,1209,115132,Grieve,Ben
bradk001,24586,680694,Bradish,Kyle
gooda101,1004861,114954,Goodwin,Art
wallj001,1013550,123862,Wallace,Jeff
devlj101,1003251,113315,Devlin,Jim
pereg101,1010181,120409,Perez,George
browc103,1001504,111538,Brown,Clint
winng101,1014138,124457,Winn,George
narrj001,1009453,119655,Narron,Jerry
greyr101,1005032,115127,Grey,Reddy
walsj104,1013577,123883,Walsh,Joe
chilp101,1002191,112244,Chiles,Pearce
cabro002,21707,665828,Cabrera,Oswaldo
humpm001,1006187,116310,Humphreys,Mike
agosj001,1000084,110088,Agosto,Juan
oleat001,789,119975,O'Leary,Troy
younr102,1014391,124713,Young,Russ
sommp101,1012276,122532,Sommers,Andy
stidp001,1012531,122790,Stidham,Phil
roben001,1620,425146,Robertson,Nate
cowgc001,7250,518577,Cowgill,Collin
lyncd101,1007861,118033,Lynch,Danny
wrigg103,1014278,124593,Wright,Gene
bonnb001,1001171,111201,Bonnell,Barry
boltc102,1001152,111181,Bolton,Cecil
krauj101,1007144,117295,Kraus,Jack
tsuty001,27459,660294,Tsutsugo,Yoshi
schnj101,1011595,121847,Schneider,Jeff
lopea102,1007751,117914,Lopez,Al
dalep101,1002945,113009,Daley,Pete
david002,1244,150277,Davis,Doug
hardl103,1005346,115458,Harting,Jumbo
herrj101,1005735,115855,Herrnstein,John
adams102,1000064,110066,Adams,Spencer
schrp102,1011613,121865,Schreiber,Paul
waltb101,1013582,123891,Walter,Bernie
bendc101,1000827,110850,Bender,Charles
fultb001,1004403,114489,Fulton,Bill
actog001,27583,670183,Acton,Garrett
downs001,773,275933,Downs,Scott
buenj001,9494,502055,Buente,Jay
robec002,7705,452075,Robertson,Connor
spanb101,1012303,122561,Spanswick,Bill
mcgrm101,1008548,118732,McGrillis,Mark
clacb101,1002250,112303,Clack,Bobby
grasm101,1004956,115052,Grasso,Mickey
cregp101,1002759,112818,Cregan,Pete
bowij001,1001257,111295,Bowie,Jim
barnb002,629,488681,Barnes,Brandon
mcivo101,1008575,118759,McIvor,Otto
boucm101,1001233,111271,Boucher,Medric
hayev001,1005531,115646,Hayes,Von
wallr101,1013556,123869,Waller,Red
goarj101,1004790,114878,Goar,Jot
landr001,1007292,117450,Landestoy,Rafael
alfaj001,2388,430898,Alfaro,Jason
pered001,1010180,120406,Perez,Danny
weavr101,1013704,124010,Weaver,Roger
eiscj001,774,113784,Eischen,Joey
irwiw101,1006281,116410,Irwin,Walt
tisij101,1013083,123361,Tising,Jack
mullj101,1009307,119499,Mulligan,Joe
wittb002,25764,677951,Witt,Bobby
lowrj001,4418,476704,Lowrie,Jed
graym101,1004975,115069,Gray,Milt
davij105,1003032,113092,Davie,Jerry
langd102,1007314,117470,Lang,Don
counc001,52,112736,Counsell,Craig
boted002,14593,623520,Bote,David
