season,player_id,name,bats,throws
2022,bradj001,Jackie Bradley,L,R
2022,bradk001,Kyle Bradish,R,R
2022,branm003,Michael Brantley,L,L
2022,branr002,Rob Brantly,L,R
2022,brasm001,Matt Brash,R,R
2022,brasr001,Ryan Brasier,R,R
2022,braus002,Steven Brault,L,L
2022,brazh001,Huascar Brazoban,R,R
2022,brebj001,John Brebbia,L,R
2022,brega001,Alex Bregman,R,R
2022,brenj001,Jake Brentz,L,L
2022,brenw002,Will Brennan,L,L
2022,brica001,Austin Brice,R,R
2022,bridj001,Jonah Bride,R,R
2022,brieb001,Beau Brieske,R,R
2022,brigj002,Jeff Brigham,R,R
2022,brinl001,Lewis Brinson,R,R
2022,britz001,Zack Britton,L,L
2022,brogc001,Connor Brogdon,R,R
2022,brooa001,Aaron Brooks,R,R
2022,brosm001,Mike Brosseau,R,R
2022,browh001,Hunter Brown,R,R
2022,brows003,Seth Brown,L,L
2022,brubj001,JT Brubaker,R,R
2022,bruij001,Justin Bruihl,L,L
2022,brujv001,Vidal Brujan,B,R
2022,bryak001,Kris Bryant,R,R
2022,bubik001,Kris Bubic,L,L
2022,buehw001,Walker Buehler,R,R
2022,bumgm001,Madison Bumgarner,R,L
2022,bumma001,Aaron Bummer,L,L
2022,bundd001,Dylan Bundy,B,R
2022,burdp001,Peyton Burdick,R,R
2022,burgj001,Jake Burger,R,R
2022,burkb001,Brock Burke,L,L
2022,burla001,Alec Burleson,L,L
2022,burnc002,Corbin Burnes,R,R
2022,burrr002,Ryan Burr,R,R
2022,bushm001,Matt Bush,R,R
2022,buttj001,Jose Butto,R,R
2022,buxtb001,Byron Buxton,R,R
2022,cabre003,Edward Cabrera,R,R
2022,cabrg001,Genesis Cabrera,L,L
2022,cabrm001,Miguel Cabrera,R,R
2022,cabro002,Oswaldo Cabrera,B,R
2022,cainl001,Lorenzo Cain,R,R
2022,calhk001,Kole Calhoun,L,L
2022,calhw001,Willie Calhoun,L,R
2022,calla002,Alex Call,R,R
2022,camaj001,Johan Camargo,B,R
2022,camed001,Daz Cameron,R,R
2022,campl002,Luis Campusano,R,R
2022,candj002,Jeimer Candelario,B,R
2022,canhm001,Mark Canha,R,R
2022,canor001,Robinson Cano,L,R
2022,canoy001,Yennier Cano,R,R
2022,capec001,Conner Capel,L,L
2022,caprv001,Vinny Capra,R,R
2022,carav001,Victor Caratini,B,R
2022,carld002,Dylan Carlson,B,L
2022,carld003,Drew Carlton,R,R
2022,carpk001,Kerry Carpenter,L,R
2022,carpm002,Matt Carpenter,L,R
2022,carrc003,Carlos Carrasco,R,R
2022,carrc005,Corbin Carroll,L,L
2022,casac001,Curt Casali,R,R
2022,casat001,Triston Casas,L,R
2022,casta005,Anthony Castro,R,R
2022,castd002,Diego Castillo,R,R
2022,castd003,Daniel Castano,L,L
2022,castd004,Diego Castillo,R,R
2022,casth001,Harold Castro,L,R
2022,casth002,Humberto Castellanos,R,R
2022,castj006,Jason Castro,L,R
2022,castj007,Jose Castillo,L,L
2022,castk002,Kervin Castro,R,R
2022,castl003,Luis Castillo,R,R
2022,castl004,Luis Castillo,R,R
2022,castm002,Miguel Castro,R,R
2022,castm003,Max Castillo,R,R
2022,castn001,Nick Castellanos,R,R
2022,castr005,Ryan Castellani,R,R
2022,castr006,Rodolfo Castro,B,R
2022,castw003,Willi Castro,B,R
2022,cavac001,Cade Cavalli,R,R
2022,cavej001,Jake Cave,L,L
2022,ceasd001,Dylan Cease,R,R
2022,celeg001,Gilberto Celestino,R,L
2022,cessl001,Luis Cessa,R,R
2022,chacj001,Jhoulys Chacin,R,R
2022,chafa001,Andrew Chafin,R,L
2022,chany001,Yu Chang,R,R
2022,chapa001,Aroldis Chapman,L,L
2022,chapm001,Matt Chapman,R,R
2022,charj001,J. T. Chargois,B,R
2022,chavj001,Jesse Chavez,R,R
