season,player_id,name,bats,throws
2023,abadf001,Fernando Abad,L,L
2023,abboa001,Andrew Abbott,L,L
2023,abboc001,Cory Abbott,R,R
2023,abrac001,CJ Abrams,L,R
2023,abrea001,Albert Abreu,R,R
2023,abreb002,Bryan Abreu,R,R
2023,abrej003,Jose Abreu,R,R
2023,abrew002,Wilyer Abreu,L,L
2023,acevd001,Domingo Acevedo,R,R
2023,actog001,Garrett Acton,L,R
2023,acunr001,Ronald Acuna,R,R
2023,adama002,Austin Adams,R,R
2023,adamj002,Jason Adam,R,R
2023,adamj003,Jordyn Adams,R,R
2023,adamr004,Riley Adams,R,R
2023,adamw002,Willy Adames,R,R
2023,adcot001,Ty Adcock,R,R
2023,adelj001,Jo Adell,R,R
2023,adonj001,Joan Adon,R,R
2023,adrie001,Ehire Adrianza,B,R
2023,aguij001,Jesus Aguilar,R,R
2023,ahmen001,Nick Ahmed,R,R
2023,akink001,Keegan Akin,L,L
2023,albeh001,Hanser Alberto,R,R
2023,albio001,Ozzie Albies,B,R
2023,alcaj001,Jorge Alcala,R,R
2023,alcas001,Sandy Alcantara,R,R
2023,alexs001,Scott Alexander,L,L
2023,alext001,Tyler Alexander,R,L
2023,alfaj002,Jorge Alfaro,R,R
2023,allak001,Kolby Allard,L,L
2023,alleg002,Greg Allen,B,R
2023,allel003,Logan Allen,R,L
2023,allen002,Nick Allen,R,R
2023,almoa001,Abraham Almonte,B,R
2023,almoy001,Yency Almonte,R,R
2023,alonp001,Pete Alonso,R,R
2023,altuj001,Jose Altuve,R,R
2023,alu-j001,Jake Alu,L,R
2023,alvaf001,Francisco Alvarez,R,R
2023,alvaj004,Jose Alvarado,L,L
2023,alvay001,Yordan Alvarez,L,R
2023,alzoa001,Adbert Alzolay,R,R
2023,amayj001,Jacob Amaya,R,R
2023,amaym001,Miguel Amaya,R,R
2023,andeb006,Brian Anderson,R,R
2023,andec001,Chase Anderson,R,R
2023,andeg002,Grant Anderson,R,R
2023,anden001,Nick Anderson,R,R
2023,andet001,Tim Anderson,R,R
2023,andet002,Tyler Anderson,L,L
2023,andrc002,Clayton Andrews,L,L
2023,andre001,Elvis Andrus,R,R
2023,andum001,Miguel Andujar,R,R
2023,antot001,Tejay Antone,R,R
2023,aranj001,Jonathan Aranda,L,R
2023,arauj001,Jonathan Arauz,B,R
2023,arcio002,Orlando Arcia,R,R
2023,arenn001,Nolan Arenado,R,R
2023,ariag002,Gabriel Arias,R,R
2023,armss001,Shawn Armstrong,R,R
2023,arozr001,Randy Arozarena,R,R
2023,arral001,Luis Arraez,L,R
2023,arroc001,Christian Arroyo,R,R
2023,ashcg001,Graham Ashcraft,L,R
2023,assaj001,Javier Assad,R,R
2023,avilp001,Pedro Avila,R,R
2023,azocj001,Jose Azocar,R,R
2023,bachs001,Sam Bachman,R,R
2023,badda001,Akil Baddoo,L,L
2023,badeh001,Harrison Bader,R,R
2023,bae-j001,Ji Hwan Bae,L,R
2023,baezj001,Javier Baez,R,R
2023,bailp001,Patrick Bailey,B,R
2023,bakeb001,Bryan Baker,R,R
2023,bakel001,Luken Baker,R,R
2023,balaj001,Jordan Balazovic,R,R
2023,banda001,Anthony Banda,L,L
2023,bankt001,Tanner Banks,R,L
2023,bannr001,Rylan Bannon,R,R
2023,bardd001,Daniel Bard,R,R
2023,barlj001,Joe Barlow,R,R
2023,barls001,Scott Barlow,R,R
2023,barna001,Austin Barnes,R,R
2023,barnj002,Jacob Barnes,R,R
2023,barnm001,Matt Barnes,R,R
2023,barnt001,Tucker Barnhart,L,R
2023,barrj003,Jaime Barria,R,R
2023,barrk002,Kyle Barraclough,R,R
2023,barrt004,Tres Barrera,R,R
2023,bartj003,Joey Bart,R,R
2023,basao001,Osleivis Basabe,R,R
2023,bassa001,Anthony Bass,R,R
2023,bassc001,Chris Bassitt,R,R
2023,battm001,Matthew Batten,R,R
2023,battp001,Peyton Battenfield,R,R
2023,batyb001,Brett Baty,L,R
2023,bauej001,Jake Bauers,L,L
2023,baumm001,Mike Baumann,R,R
2023,bautf001,Felix Bautista,R,R
2023,bazae001,Eduard Bazardo,R,R
2023,beatm001,Matt Beaty,L,R
2023,beckt002,Tristan Beck,R,R
2023,bednd001,David Bednar,L,R
2023,beekj001,Jalen Beeks,L,L
2023,bella001,Andrew Bellatti,R,R
2023,bellb002,Brayan Bello,R,R
2023,bellc002,Cody Bellinger,L,L
2023,bellj005,Josh Bell,B,R
2023,beltb001,Brandon Belt,L,L
2023,bemba001,Anthony Bemboom,L,R
2023,benia002,Andrew Benintendi,L,L
2023,bensw001,Will Benson,L,L
2023,bernb001,Brennan Bernardino,L,L
2023,berrj001,Jose Berrios,R,R
2023,berrp001,Prelander Berroa,R,R
2023,bertj001,Jon Berti,R,R
2023,bethc001,Christian Bethancourt,R,R
2023,bettm001,Mookie Betts,R,R
2023,bibet001,Tanner Bibee,R,R
2023,bichb001,Bo Bichette,R,R
2023,bickp001,Phil Bickford,R,R
2023,bidoo001,Osvaldo Bido,R,R
2023,biebs001,Shane Bieber,R,R
2023,bielb001,Brandon Bielak,L,R
2023,biggc002,Cavan Biggio,L,R
2023,birdj001,Jake Bird,R,R
2023,blacc001,Charlie Blackmon,L,L
2023,blacp001,Paul Blackburn,R,R
2023,blact002,Ty Blach,R,L
2023,bland001,Dairon Blanco,R,R
2023,blanr001,Ronel Blanco,R,R
2023,blant002,Travis Blankenhorn,L,R
2023,bledj001,JJ Bleday,L,L
2023,bleir001,Richard Bleier,L,L
2023,bogax001,Xander Bogaerts,R,R
2023,bohma001,Alec Bohm,R,R
2023,boltc001,Cody Bolton,R,R
2023,borur001,Ryan Borucki,L,L
2023,boucs001,Sean Bouchard,R,R
2023,bousc001,Caleb Boushley,R,R
2023,bowlj001,Jonathan Bowlan,R,R
2023,bowmm001,Matthew Bowman,R,R
2023,boxbb001,Brad Boxberger,R,R
2023,boydm001,Matt Boyd,L,L
2023,boylj001,Joe Boyle,R,R
2023,bracs001,Silvino Bracho,R,R
2023,brada001,Archie Bradley,R,R
2023,bradc003,Cody Bradford,L,L
2023,bradj001,Jackie Bradley,L,R
2023,bradk001,Kyle Bradish,R,R
2023,bradt002,Taj Bradley,R,R
2023,branm003,Michael Brantley,L,L
2023,brasm001,Matt Brash,R,R
2023,brasr001,Ryan Brasier,R,R
2023,brazh001,Huascar Brazoban,R,R
2023,brebj001,John Brebbia,L,R
2023,brega001,Alex Bregman,R,R
2023,brenw002,Will Brennan,L,L
2023,brewc002,Colten Brewer,R,R
2023,bridj001,Jonah Bride,R,R
2023,brieb001,Beau Brieske,R,R
2023,brigj002,Jeff Brigham,R,R
2023,brisb001,Braden Bristo,R,R
2023,britj003,Jhony Brito,R,R
2023,brogc001,Connor Brogdon,R,R
2023,brosm001,Mike Brosseau,R,R
2023,browh001,Hunter Brown,R,R
2023,brows003,Seth Brown,L,L
2023,bruij001,Justin Bruihl,L,L
2023,brujv001,Vidal Brujan,B,R
2023,bryak001,Kris Bryant,R,R
2023,bubik001,Kris Bubic,L,L
2023,bukaj001,J. B. Bukauskas,R,R
2023,bumgm001,Madison Bumgarner,R,L
2023,bumma001,Aaron Bummer,L,L
2023,burdn001,Nick Burdi,R,R
2023,burdp001,Peyton Burdick,R,R
2023,burdz001,Zack Burdi,R,R
2023,burgj001,Jake Burger,R,R
2023,burkb001,Brock Burke,L,L
2023,burla001,Alec Burleson,L,L
2023,burnc002,Corbin Burnes,R,R
2023,buscm003,Michael Busch,L,R
2023,busea001,Alan Busenitz,R,R
2023,bushm001,Matt Bush,R,R
2023,butll001,Lawrence Butler,L,R
2023,buttj001,Jose Butto,R,R
2023,buxtb001,Byron Buxton,R,R
2023,cabaj001,Jose Caballero,R,R
2023,cabbt001,Trey Cabbage,L,R
2023,cabre003,Edward Cabrera,R,R
2023,cabrg001,Genesis Cabrera,L,L
2023,cabrm001,Miguel Cabrera,R,R
2023,cabro002,Oswaldo Cabrera,B,R
2023,cacek001,Kelvin Caceres,R,R
2023,calhk001,Kole Calhoun,L,L
2023,calhw001,Willie Calhoun,L,R
2023,calla002,Alex Call,R,R
2023,calvb001,Blair Calvo,R,R
2023,camaj001,Johan Camargo,B,R
2023,camij001,Junior Caminero,R,R
2023,campi001,Isaiah Campbell,R,R
2023,campl002,Luis Campusano,R,R
