season,player_id,name,bats,throws
2021,abadf001,Fernando Abad,L,L
2021,abboc001,Cory Abbott,R,R
2021,abrea001,Albert Abreu,R,R
2021,abreb002,Bryan Abreu,R,R
2021,abrej003,Jose Abreu,R,R
2021,acevd001,Domingo Acevedo,R,R
2021,acunr001,Ronald Acuna,R,R
2021,adama002,Austin Adams,R,R
2021,adamj002,Jason Adam,R,R
2021,adamm002,Matt Adams,L,R
2021,adamr004,Riley Adams,R,R
2021,adamw002,Willy Adames,R,R
2021,adelj001,Jo Adell,R,R
2021,adonj001,Joan Adon,R,R
2021,adrie001,Ehire Adrianza,B,R
2021,aguij001,Jesus Aguilar,R,R
2021,aguim001,Miguel Aguilar,L,L
2021,ahmen001,Nick Ahmed,R,R
2021,akink001,Keegan Akin,L,L
2021,akiys001,Shogo Akiyama,L,R
2021,alanr001,R. J. Alaniz,R,R
2021,albea001,Andrew Albers,R,L
2021,albeh001,Hanser Alberto,R,R
2021,albio001,Ozzie Albies,B,R
2021,alcaj001,Jorge Alcala,R,R
2021,alcas001,Sandy Alcantara,R,R
2021,alcas002,Sergio Alcantara,B,R
2021,alexa001,A. J. Alexy,R,R
2021,alexs001,Scott Alexander,L,L
2021,alext001,Tyler Alexander,R,L
2021,alfaj002,Jorge Alfaro,R,R
2021,alfoa002,Anthony Alford,R,R
2021,allak001,Kolby Allard,L,L
2021,allea001,Austin Allen,L,R
2021,alleg002,Greg Allen,B,R
2021,allel002,Logan Allen,R,L
2021,allgn001,Nick Allgeyer,L,L
2021,almoa001,Abraham Almonte,B,R
2021,almoa002,Albert Almora,R,R
2021,almoy001,Yency Almonte,R,R
2021,alonp001,Pete Alonso,R,R
2021,altad001,Dan Altavilla,R,R
2021,altuj001,Jose Altuve,R,R
2021,alvae001,Eddy Alvarez,B,R
2021,alvaj003,Jose Alvarez,L,L
2021,alvaj004,Jose Alvarado,L,L
2021,alvay001,Yordan Alvarez,L,R
2021,alzoa001,Adbert Alzolay,R,R
2021,ambut001,Trey Amburgey,R,R
2021,andeb004,Brett Anderson,L,L
2021,andeb006,Brian Anderson,R,R
2021,andec001,Chase Anderson,R,R
2021,anded003,Drew Anderson,R,R
2021,andei001,Ian Anderson,R,R
2021,anden001,Nick Anderson,R,R
2021,andes002,Shaun Anderson,R,R
2021,andet001,Tim Anderson,R,R
