season,player_id,name,bats,throws
2024,abboa001,Andrew Abbott,L,L
2024,abrac001,CJ Abrams,L,R
2024,abreb002,Bryan Abreu,R,R
2024,abrej003,Jose Abreu,R,R
2024,abrew002,Wilyer Abreu,L,L
2024,acunl001,Jose Acuna,R,R
2024,acunr001,Ronald Acuna,R,R
2024,adama002,Austin Adams,R,R
2024,adamj002,Jason Adam,R,R
2024,adamj003,Jordyn Adams,R,R
2024,adamr004,Riley Adams,R,R
2024,adamw002,Willy Adames,R,R
2024,adcot001,Ty Adcock,R,R
2024,adelj001,Jo Adell,R,R
2024,adonj001,Joan Adon,R,R
2024,adrie001,Ehire Adrianza,B,R
2024,aguij002,Julian Aguiar,L,R
2024,ahmen001,Nick Ahmed,R,R
2024,akink001,Keegan Akin,L,L
2024,albio001,Ozzie Albies,B,R
2024,alcaj001,Jorge Alcala,R,R
2024,alcak001,Kevin Alcantara,R,R
2024,aldes001,Sam Aldegheri,L,L
2024,alexb001,Blaze Alexander,R,R
2024,alexc001,CJ Alexander,L,R
2024,alexs001,Scott Alexander,L,L
2024,alext001,Tyler Alexander,R,L
2024,allak001,Kolby Allard,L,L
2024,allel002,Logan Allen,R,L
2024,allel003,Logan Allen,R,L
2024,allen002,Nick Allen,R,R
2024,almoy001,Yency Almonte,R,R
2024,alonp001,Pete Alonso,R,R
2024,altad001,Dan Altavilla,R,R
2024,altuj001,Jose Altuve,R,R
2024,alvaa002,Armando Alvarez,R,R
2024,alvae001,Eddy Alvarez,L,R
2024,alvaf001,Francisco Alvarez,R,R
2024,alvaj004,Jose Alvarado,L,L
2024,alvan001,Nacho Alvarez,R,R
2024,alvay001,Yordan Alvarez,L,R
2024,alzoa001,Adbert Alzolay,R,R
2024,amada001,Adael Amador,B,R
2024,amayj001,Jacob Amaya,R,R
2024,amaym001,Miguel Amaya,R,R
2024,andeb006,Brian Anderson,R,R
2024,andec001,Chase Anderson,R,R
2024,andeg002,Grant Anderson,R,R
2024,andej005,Justin Anderson,L,R
2024,anden001,Nick Anderson,R,R
2024,andes002,Shaun Anderson,R,R
2024,andet001,Tim Anderson,R,R
2024,andet002,Tyler Anderson,L,L
2024,andrc002,Clayton Andrews,L,L
