player_id,player_name,game_date,game_pk,pa,woba,xwoba,so,bb,hrs,k_percent,bb_percent,hardhit_percent,swing_miss_percent,pitcher_run_value_per_100,obp
607259,"Martinez, Nick",2023-03-31,718766,29.0,0.269,0.35,5.0,2.0,1.0,17.2,6.9,18.181818181818183,28.8,1.432673267,0.276
656605,"Keller, Mitch",2023-03-30,718773,23.0,0.391,0.366,8.0,4.0,1.0,34.8,17.4,18.181818181818183,31.9,-2.311,0.391
458681,"Lynn, Lance",2023-03-31,718764,23.0,0.316,0.409,6.0,4.0,1.0,26.1,17.4,41.66666666666667,37.2,-0.904166667,0.348
645261,"Alcantara, Sandy",2023-03-30,718774,23.0,0.236,0.336,2.0,4.0,0.0,8.7,17.4,41.17647058823529,29.8,1.169791667,0.304
543037,"Cole, Gerrit",2023-03-30,718781,22.0,0.184,0.217,11.0,2.0,0.0,50.0,9.1,44.44444444444444,38.6,2.678947368,0.227
660271,"Ohtani, Shohei",2023-03-30,718769,23.0,0.183,0.183,10.0,3.0,0.0,43.5,13.0,20.0,35.1,2.816129032,0.217
605483,"Snell, Blake",2023-03-30,718778,21.0,0.32,0.234,9.0,1.0,0.0,42.9,4.8,18.181818181818183,43.5,-0.407526882,0.333
657277,"Webb, Logan",2023-03-30,718781,24.0,0.299,0.252,12.0,2.0,2.0,50.0,8.3,40.0,35.7,0.135869565,0.25
592662,"Ray, Robbie",2023-03-31,718763,19.0,0.388,0.347,3.0,5.0,0.0,15.8,26.3,45.45454545454545,22.7,-1.020879121,0.474
453286,"Scherzer, Max",2023-03-30,718774,22.0,0.308,0.277,6.0,2.0,1.0,27.3,9.1,28.57142857142857,26.5,0.194505495,0.273
666200,"Luzardo, Jesús",2023-03-31,718771,21.0,0.217,0.337,5.0,4.0,0.0,23.8,19.0,16.666666666666664,39.5,2.297802198,0.286
573186,"Stroman, Marcus",2023-03-30,718777,23.0,0.206,0.248,8.0,3.0,0.0,34.8,13.0,33.33333333333333,41.7,3.332222222,0.261
571945,"Mikolas, Miles",2023-03-30,718772,21.0,0.489,0.454,6.0,0.0,0.0,28.6,0.0,50.0,17.4,-2.821111111,0.524
668678,"Gallen, Zac",2023-03-30,718770,23.0,0.352,0.321,7.0,3.0,0.0,30.4,13.0,38.46153846153847,30.2,-0.942696629,0.391
593958,"Rodriguez, Eduardo",2023-03-30,718776,21.0,0.246,0.314,5.0,2.0,1.0,23.8,9.5,42.85714285714285,21.1,1.776136364,0.238
663556,"McClanahan, Shane",2023-03-30,718776,22.0,0.209,0.219,6.0,1.0,0.0,27.3,4.5,40.0,33.3,2.929885057,0.227
669203,"Burnes, Corbin",2023-03-30,718777,23.0,0.276,0.303,3.0,3.0,0.0,13.0,13.0,37.5,22.0,-0.189655172,0.348
