player_id,player_name,game_date,game_pk,pa,woba,xwoba,so,bb,hrs,k_percent,bb_percent,hardhit_percent,swing_miss_percent,pitcher_run_value_per_100,obp
694973,"Skenes, Paul",2024-09-09,745454,24.0,0.265,0.232,9.0,1.0,0.0,37.5,4.2,42.85714285714285,35.3,0.376530612,0.292
579328,"Kikuchi, Yusei",2024-09-25,746331,24.0,0.176,0.219,8.0,1.0,0.0,33.3,4.2,40.0,31.4,2.203061224,0.208
668909,"Williams, Gavin",2024-09-02,746265,24.0,0.11,0.217,6.0,2.0,0.0,25.0,8.3,50.0,20.8,3.83877551,0.125
663903,"Singer, Brady",2024-09-27,747065,26.0,0.274,0.361,5.0,3.0,1.0,19.2,11.5,44.44444444444444,29.8,-0.430612245,0.269
694297,"Pfaadt, Brandon",2024-09-01,747157,27.0,0.326,0.301,10.0,2.0,0.0,37.0,7.4,40.0,34.0,-0.329591837,0.37
608331,"Fried, Max",2024-09-27,747065,30.0,0.159,0.238,9.0,2.0,0.0,30.0,6.7,42.10526315789473,20.5,3.878571429,0.167
686752,"Pepiot, Ryan",2024-09-07,746986,25.0,0.327,0.282,4.0,2.0,1.0,16.0,8.0,22.22222222222222,20.4,0.228571429,0.333
700249,"Povich, Cade",2024-09-03,746991,27.0,0.177,0.233,10.0,0.0,0.0,37.0,0.0,41.17647058823529,24.4,2.504081633,0.185
806185,"Birdsong, Hayden",2024-09-29,745282,20.0,0.338,0.259,11.0,3.0,1.0,55.0,15.0,66.66666666666666,47.6,-0.941836735,0.35
678394,"Bello, Brayan",2024-09-14,745689,21.0,0.234,0.362,2.0,2.0,0.0,9.5,9.5,58.82352941176471,13.5,0.617346939,0.286
608331,"Fried, Max",2024-09-16,747067,23.0,0.214,0.292,7.0,3.0,0.0,30.4,13.0,33.33333333333333,20.0,2.051020408,0.261
622663,"Severino, Luis",2024-09-08,745774,25.0,0.246,0.22,8.0,2.0,0.0,32.0,8.0,20.0,27.5,1.521649485,0.28
669923,"Kirby, George",2024-09-10,745210,22.0,0.435,0.404,4.0,1.0,2.0,18.2,4.5,41.17647058823529,28.0,-1.363917526,0.364
682243,"Miller, Bryce",2024-09-23,746334,25.0,0.126,0.276,5.0,2.0,0.0,20.0,8.0,44.44444444444444,36.4,4.067010309,0.16
621111,"Buehler, Walker",2024-09-15,747071,26.0,0.244,0.292,5.0,5.0,0.0,19.2,19.2,26.666666666666668,22.2,1.057731959,0.32
656302,"Cease, Dylan",2024-09-13,745286,23.0,0.229,0.256,10.0,2.0,0.0,43.5,8.7,54.54545454545454,44.0,1.542268041,0.261
621244,"Berríos, José",2024-09-14,744884,25.0,0.172,0.329,4.0,2.0,1.0,16.0,8.0,36.84210526315789,22.2,1.826804124,0.16
592791,"Taillon, Jameson",2024-09-08,746827,25.0,0.269,0.3,6.0,1.0,0.0,24.0,4.0,44.44444444444444,26.8,1.331958763,0.28
677960,"Weathers, Ryan",2024-09-29,744880,24.0,0.183,0.227,6.0,2.0,0.0,25.0,8.3,25.0,20.5,2.474226804,0.208
656302,"Cease, Dylan",2024-09-25,746095,23.0,0.314,0.369,4.0,3.0,0.0,17.4,13.0,37.5,40.8,-0.358762887,0.348
683003,"Jones, Jared",2024-09-15,745449,20.0,0.441,0.428,5.0,3.0,0.0,25.0,15.0,66.66666666666666,16.7,-1.835051546,0.45
621244,"Berríos, José",2024-09-20,745043,24.0,0.329,0.306,6.0,1.0,1.0,25.0,4.2,41.17647058823529,32.2,-0.379381443,0.292
669302,"Gilbert, Logan",2024-09-14,745209,25.0,0.348,0.223,7.0,1.0,2.0,28.0,4.0,23.52941176470588,30.6,-0.077319588,0.28
