Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"ATL",162,2278,6249,307,947,916,132,0.086093775,0.206273003,0.225120601,0.305637982,0.275683401,0.343955164,0.500804002,0.3593280624577319,0.3639493611792448,125.77394153015378,9.560905603691936,208.84676191492264,-7.444941803812981,41.279222778553
"TEX",162,2302,6306,233,881,845,79,0.094988899,0.224548049,0.189633601,0.309792136,0.262734584,0.337146488,0.452368185,0.33969398540582213,0.3356582842477203,117.86146964263195,-8.344854163005948,126.5936250255769,11.054505214095116,35.18436258013678
"TBR",162,2353,6164,230,860,827,160,0.08338741,0.230369889,0.185084377,0.308284175,0.259843948,0.331438778,0.444928325,0.33521079691497896,0.3220052865673857,117.10434999254566,6.770446360758797,133.09907535810282,-26.62927987240255,31.592130813344475
"LAD",162,2421,6333,249,906,877,105,0.101689562,0.214590241,0.197320782,0.294353826,0.257422157,0.34024043,0.454742939,0.3411892221554766,0.341322115372695,114.54854942921367,0.4733409702312201,114.59826949286037,-18.321469858754426,31.081337330193733
"SEA",162,2391,6201,210,758,728,118,0.088372843,0.258506692,0.170363636,0.301288936,0.242181818,0.321336346,0.412545454,0.3192700611873955,0.324066830137811,108.92117000722112,-5.103361822315492,61.18177014621669,-2.951359967701137,26.907725639636435
"HOU",162,2282,6253,222,827,799,107,0.08795778,0.198464736,0.177833663,0.294160231,0.258846775,0.331192807,0.436680438,0.33164072907017034,0.33328368437950007,111.44873400024521,-9.267539537278935,76.37827654973472,-21.51883926987648,26.748529361352624
"SDP",162,2329,6180,205,752,719,137,0.10566343,0.212135922,0.169598223,0.282769152,0.243658581,0.329163281,0.413256804,0.3232176678831986,0.3286282348926892,105.64147868097389,5.614528457634151,48.71033897156753,-4.840695317834616,25.33646710133886
"CHC",162,2328,6220,196,819,786,140,0.091639871,0.22363344,0.166606104,0.303099017,0.254178779,0.329840399,0.420784883,0.3257696674005622,0.3249588025822813,105.35736177315727,8.133053056895733,49.398894861371026,-10.800387896597385,24.946518220128468
"TOR",162,2403,6220,188,746,705,99,0.088424437,0.20948553,0.160733549,0.300999268,0.255843221,0.3286657,0.41657677,0.32397466409512155,0.32429304832352274,106.10881741698067,-10.32823440793436,35.17784619355025,1.2227214463055134,24.79556261576681
"BAL",162,2441,6123,183,807,780,114,0.08361914,0.223746529,0.16633303,0.304838305,0.254595086,0.320708312,0.420928116,0.32045680390289794,0.31932031164133196,104.49206655951232,16.063995843636803,49.02064285014106,-17.919915496371686,23.93699836635299
"MIN",162,2427,6219,233,778,745,86,0.095513748,0.265959157,0.184186555,0.303522289,0.243395882,0.325761237,0.427582437,0.32666121018598804,0.3257059580452116,106.59910239220669,-5.288025530055165,43.88625359614507,-25.507898958399892,22.995029697957534
