Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"ATL",162,89,73,40,643,162,1443.1,9.683834347434436,2.7997692350277283,0.9353349337509115,0.29989356040447046,0.74936869,0.453864047,0.111607142,94.48367441884288,3.485681519778397,3.5971883669963356,3.440151851498395,3.497061299511588,23.62147283181548
"PHI",162,95,67,37,679,162,1442.2,8.939695510694861,2.7698707653513734,1.1291590282175645,0.2945066124109868,0.7372924,0.458670591,0.131732168,94.03338271004041,3.855360659880966,3.8957290909902627,3.858947469627638,3.667981343030074,21.519631379749626
"KCR",162,86,76,41,668,162,1428,8.43907638599719,2.9747901823679412,0.9201681496307615,0.2907035175879397,0.73204925,0.432425803,0.095863427,94.05026127150839,3.756302857396807,4.112889483917135,3.758916806134258,4.042382379611836,20.011825646390207
"SDP",162,93,69,44,701,162,1439.1,9.08545709258079,2.888837699086252,1.056739331483932,0.29061371841155237,0.72777638,0.414414414,0.109032258,95.41072426796228,3.8580364942342373,3.8464618441115546,3.7764844679958385,3.878346239812224,19.193805538117886
"MIN",162,82,80,43,697,162,1440.1,9.372831184789044,2.7056239353424374,1.1872252834066124,0.2941327843540916,0.70108349,0.400842835,0.117067159,94.22052260474086,4.261513912017419,3.8081076071079902,3.8441007587604696,3.8329850276067465,18.650238804984838
"DET",162,86,76,45,666,162,1447,8.42156266315993,2.5874225021229917,0.9889427351864319,0.27768014059753954,0.72324139,0.436845947,0.105367793,94.51604870889429,3.6261233623502505,3.6991566071278084,3.70414396275873,3.8524651138701245,17.947582970373333
"WSN",162,71,91,40,730,162,1434,8.246862714459029,2.968619531156104,1.054393406414853,0.30636540330417883,0.69072406,0.427457466,0.109732201,94.63157954107723,4.29916359163199,4.267026059440445,3.9363543290054026,4.027626910916183,17.26817383337766
"BAL",162,91,71,46,708,162,1442,8.613038365089729,3.0020807634841735,1.0922331260077556,0.2832747363134103,0.71482412,0.422114216,0.109649122,94.19661780764145,3.9445219179251514,3.9491825893190535,3.941098446067994,4.036913585486652,17.041434397222474
"SEA",162,85,77,34,685,162,1433,8.893231718216795,2.317515892670902,1.1493371500237806,0.2620999735519704,0.73797431,0.403312101,0.114375,95.554144298028,3.49197516619247,3.5258473538524018,3.7317275569900152,3.7597899807689394,16.427861886797473
"CIN",162,77,85,36,696,162,1428,8.634454492224709,3.069327983732433,1.235294219325579,0.2822868810617662,0.7389898,0.384388081,0.114352392,94.44503191329517,4.090336471134187,3.927525062460232,4.250513480963262,4.2810333772178835,16.2064690485131
"LAD",162,98,64,50,727,162,1445.2,8.653447629349275,3.11897644770071,1.2326493745404004,0.2754291570586728,0.73656399,0.406620553,0.123057799,94.61838823851443,3.9158406898278373,4.055604709473527,4.1777779744615495,4.080121656754373,15.601453385315835
"BOS",162,81,81,40,696,162,1452.2,8.38251565756043,2.8561269165819354,1.170950080767865,0.2880981595092025,0.70502629,0.439157196,0.12177835,94.12764064654182,4.051859009641184,3.9967056643695478,4.1040659099804655,4.02809324133512,15.375592134601902
"STL",162,83,79,55,670,162,1444,8.152355469787791,2.8296402012871993,1.0844876542378252,0.2924249877029021,0.70570756,0.449510623,0.119259766,94.14062612311521,4.063712359557828,4.14509207851929,3.9517984244620132,3.913031290461674,15.24780446337536
"HOU",161,88,73,43,672,161,1432,9.295391711647024,3.4189946525598254,1.1501397452545001,0.28125833111170356,0.75245778,0.420579933,0.123648648,94.30311359872091,3.752095234518779,3.763891258629497,4.029608330284064,3.930985726464071,14.789056583482306
"PIT",162,76,86,43,675,162,1438.2,8.48285508346215,3.221733309721982,1.038461610512328,0.297993559573941,0.70828055,0.415284787,0.104534005,95.31280341933828,4.172613820552548,4.188680223240546,4.032559541809448,4.201514152058535,14.438444041647017
"CHC",162,83,79,38,658,162,1432.1,8.47009608892091,3.047475224871395,1.1373051870138609,0.282367758186398,0.73722812,0.418070818,0.112352576,93.50509583663492,3.7889228053555697,4.010854532706234,4.043370702101587,4.101210275532613,14.339884769637138
"NYY",162,94,68,45,683,162,1452.2,9.026848141956554,3.302203198121375,1.1213860766603543,0.2817665289256198,0.74713345,0.418326693,0.114195583,94.50860279028375,3.760670433883067,3.9712249190657603,4.062762572526616,4.092730444380029,14.122271048021503
"NYM",162,89,73,39,677,162,1442.1,9.079039383461918,3.6565753118272744,1.0295817857534133,0.2809373354397051,0.72278406,0.440132754,0.113091158,94.46690483553502,3.9560900131373584,4.032832474111079,4.05046413979525,4.092770774861927,14.07158790846006
"CLE",161,92,69,53,754,161,1428,8.886555434914927,3.1008406198426552,1.1281513637232425,0.2763088313061872,0.75717844,0.412827691,0.114450127,93.34587616384557,3.6050423466463393,3.93300871808263,3.980905623112968,4.007363011619793,13.838727501686662
"TBR",162,80,82,51,704,162,1440.2,8.783434210303653,2.779963174669364,1.224433218506057,0.27877237851662406,0.74461094,0.393999016,0.116458704,94.36718434641668,3.779500495898798,3.9755437798066127,4.045239673204007,4.04295611057639,12.83907422143966
"MIL",162,93,69,53,681,162,1446,8.545643807311395,3.0746890319095623,1.219917105777883,0.2767789313750317,0.76688287,0.40896839,0.12173913,93.51300145942002,3.6473031836012217,4.132027624836318,4.187226744348839,4.108619223824048,12.78194116515806
"SFG",162,80,82,36,726,162,1433.2,9.014648456306787,3.302023041794826,0.9604743828794836,0.3033248081841432,0.71827057,0.483590253,0.114349775,95.12890213885743,4.099279555688254,3.989422309972911,3.79772837415467,3.821490696988977,12.342978623579256
"ARI",162,89,73,38,698,162,1443.1,8.187298708365635,2.999307447619094,1.1286375218691393,0.30892942870859336,0.69444444,0.428006513,0.116623711,93.9876155755552,4.626790283021554,4.362604955071091,4.089343608326439,4.084935095054931,12.287511490751058
"OAK",162,69,93,35,693,162,1436.2,7.912065798532287,3.320185964546407,1.058700807562911,0.2960798636474312,0.70210122,0.401463299,0.099236641,94.56711914803563,4.372622270289419,4.174864144107248,4.236317477976971,4.4993919714363475,11.307737252674997
"TEX",162,78,84,38,645,162,1427.2,8.642774609241123,3.3411163697285162,1.24819064378537,0.28589580686149935,0.72069342,0.412756598,0.123595505,93.66555513702198,4.374971246399227,4.321877920326385,4.318009193768554,4.211708085991865,11.118541769799776
