Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
"NYY",162,2401,6235,274,849,820,134,0.102485966,0.234643143,0.204167428,0.289598732,0.250594041,0.332046952,0.454761469,0.33758932186926793,0.3404894112805148,118.67578183654066,-4.777994254603982,132.4642542504419,-12.043690748512745,34.300114305266554
"TOR",162,2481,6180,191,798,771,77,0.084142394,0.177831715,0.162157255,0.297982167,0.26529871,0.333387648,0.427455965,0.32997342921715445,0.3307391262742791,112.46814984627306,-5.75103614339605,85.06510890341869,20.835679253563285,32.62067391386287
"CHC",162,2330,6162,223,793,771,161,0.089905874,0.207237909,0.180891719,0.28345679,0.249499545,0.320487804,0.430391264,0.3246833898751402,0.3334701756636302,109.85381593613187,10.862551492638886,82.81242799471967,15.71299690916203,31.07803908653083
"NYM",162,2402,6178,224,766,746,147,0.091129815,0.214470702,0.178119846,0.286543802,0.249037932,0.326136363,0.427157778,0.3262957174522925,0.33916836176171106,112.41566121263315,7.796949926763773,98.69384169997774,-20.81076178699732,29.020590521042315
"LAD",162,2438,6187,244,825,791,88,0.093744949,0.218684338,0.18810436,0.289487049,0.252508666,0.327337546,0.440613026,0.33096593079445763,0.33503309453599345,112.98281947909368,-1.1012903400114737,94.0341863031771,-17.424315543845296,28.920993725553775
"MIL",162,2413,6227,166,806,750,164,0.090573309,0.203308174,0.145009074,0.304505813,0.258257713,0.332418912,0.403266787,0.32195168328647744,0.3140993487819469,106.82967255827472,15.086835287511349,65.44318743012602,3.291012655943632,28.251518208277066
"ARI",162,2332,6210,214,791,768,121,0.087761674,0.211916264,0.181569343,0.289735924,0.251277372,0.324635332,0.432846715,0.32722720408327194,0.3257191585535369,108.71983715505877,3.654857737477869,67.76103574274919,-12.2389260455966,26.841826748818953
"PHI",162,2300,6166,212,778,753,124,0.085630879,0.216834252,0.172557549,0.302743142,0.258473808,0.327639498,0.431031357,0.32871299337196913,0.32792902691708337,109.13807346660131,7.898077749850927,74.66000034735113,-17.90267168264836,26.818270537122597
"SEA",162,2424,6199,238,766,734,161,0.087756089,0.233263429,0.175572519,0.287085062,0.244456561,0.320427668,0.42002908,0.3214371064095758,0.3212266202775466,112.55221740238771,-2.9550882601179183,88.75448313273651,-43.3467036052607,26.498460755797097
"BOS",162,2371,6206,186,786,748,139,0.083467611,0.228649693,0.167206041,0.307153576,0.254225098,0.323591151,0.421431139,0.3230218389738049,0.3185627269833951,102.89318213184275,7.858916113618761,28.974757258689046,3.9218392949551344,25.24308651944773
