Team,TG,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
"PHI",162,90,72,45,685,162,1442.1,9.072799417926984,2.9327480924523264,1.154379568305703,0.28969572999232934,0.71193936,0.4400592,0.125508819,94.16982042211048,4.030968654732346,3.863157346937907,3.996200574823675,4.018414918135906,24.0618683709763
"TBR",162,99,63,45,698,162,1442,9.405687162681614,2.7399447010067877,1.1047157450528504,0.28387605042016806,0.72411057,0.443262411,0.124385101,95.10619383785836,3.8696257736314537,3.793523452386944,3.804971047398459,3.8408375864133353,21.389769709203392
"MIN",162,87,75,38,650,162,1451.1,9.673863714425188,2.747129247109204,1.2030317696144144,0.291932059447983,0.74653232,0.414303959,0.123409669,93.7703027638784,3.8695454857700753,3.6989162378332288,3.8889402610121118,3.9420424396914857,20.636333782458678
"BAL",162,101,61,49,722,162,1453.2,8.85966624161417,2.9284571155020975,1.0958497028411656,0.29261507334344966,0.73480459,0.437179799,0.119513841,94.6168406368935,3.90667323442246,4.2214147817327206,3.9752880926261978,4.076834044046668,18.974450464360416
"SEA",162,88,74,44,712,162,1449.1,9.060028387811776,2.614305655427524,1.1425943957212932,0.28725868725868725,0.73599053,0.431051587,0.121935056,95.06761714177448,3.73827079469684,3.8665270951447592,3.881535354252465,3.9525389000240265,18.930500218644738
"MIA",162,84,78,43,706,162,1435.1,9.342778429475858,3.2229450421144907,1.19763132887912,0.3003921568627451,0.72514479,0.445701357,0.131906077,95.3428624488445,4.213655774904548,4.079606840367546,4.131491907914715,4.0695225612301495,18.696228343993425
"SDP",162,82,80,36,669,162,1441,9.024983332029823,3.4788344054952325,1.0867453977669128,0.28616187989556136,0.75629746,0.446518668,0.124910265,94.13110458033563,3.7349065969230684,3.9939639161640663,4.137066796637394,4.165601839215926,18.469854733906686
"TOR",162,89,73,51,712,162,1451.2,9.473250026996128,3.025488228517088,1.227554650095048,0.29497907949790797,0.75369027,0.41149887,0.129411764,94.28666555334894,3.788060056606436,4.090350940495159,4.059632857426934,4.029066735303411,18.357345065334812
"LAD",162,100,62,44,713,162,1446.1,8.637013640439463,2.8250750668296223,1.244526461158424,0.27773507558288496,0.72632266,0.423323471,0.129870129,94.06838057064056,4.057156263376462,4.051413777630489,4.2264624027901725,4.189238409664764,17.93618336576037
"CHC",162,83,79,35,672,162,1435.1,8.634232059128786,3.2166746886950377,1.1223874644764362,0.2907388663967611,0.71445841,0.441291585,0.125437981,94.03984535099457,4.094519632978284,4.332542753670843,4.163540206596556,4.186066650426273,16.442646535113454
"ATL",162,104,58,52,694,162,1440,9.4750007532015,3.3375002653097634,1.1687500929081007,0.3014629049111808,0.73015684,0.424678274,0.127210884,94.5065176043923,4.137500328904613,4.189823411832939,4.096012648571172,4.095614786252513,16.323242522310466
"HOU",162,90,72,42,675,162,1445.1,9.091328835194926,3.3438654688353937,1.2516144492288905,0.2895491269220745,0.74637769,0.416666666,0.128025477,94.35181551205459,3.941651474437252,4.336597898025103,4.3129278624661005,4.30100137692762,15.852412241976708
"MIL",162,92,70,46,680,162,1443,8.887734669143066,3.074844345184233,1.234927343501984,0.26743576297850025,0.75244343,0.432888441,0.133513149,93.81515684113037,3.7297300576474064,4.001299434088931,4.21346040218127,4.128859321359936,15.570823481539264
"DET",162,78,84,41,697,162,1442.1,8.573608455739958,2.9701874999506694,1.1668593749806202,0.28424485699949825,0.69814417,0.428882965,0.119565217,93.03908158606332,4.2431249999295275,4.288022496048884,4.12931823938451,4.236673561077514,15.183387529104948
