Scheduled,Open,Best Odds,DK CO logo,FanDuel CO logo,BetMGM CO logo,DK NJ logo,bet365 CO logo,BetRivers CO logo,,Fanatics CO logo,Caesars CO logo,bet365 NJ logo
Guardians Team Icon,-125,+125Fanatics CO Logo,112,108,N/A,112,110,-103,N/A,125,N/A,110
Guardians,105,-124BetRivers CO Logo,-135,-126,N/A,-135,-130,-124,N/A,-165,N/A,-130
909,,,,,,,,,,,,
3,,,,,,,,,,,,
Tigers Team Icon,,,,,,,,,,,,
Tigers,,,,,,,,,,,,
910,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
Pirates Team Icon,-132,-120DK CO Logo,-120,-122,N/A,-120,-120,-132,N/A,-130,N/A,-120
Pirates,110,+106BetRivers CO Logo,-101,104,N/A,-101,100,106,N/A,100,N/A,100
901,,,,,,,,,,,,
6,,,,,,,,,,,,
Cardinals Team Icon,,,,,,,,,,,,
Cardinals,,,,,,,,,,,,
902,,,,,,,,,,,,
2,,,,,,,,,,,,
Final,,,,,,,,,,,,
,,,,,,,,,,,,
Mets Team Icon,-125,+100Fanatics CO Logo,-112,-110,N/A,-112,-110,-117,N/A,100,N/A,-110
Mets,105,-106FanDuel CO Logo,-108,-106,N/A,-108,-110,-106,N/A,-130,N/A,-110
903,,,,,,,,,,,,
2,,,,,,,,,,,,
Nationals Team Icon,,,,,,,,,,,,
Nationals,,,,,,,,,,,,
904,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
Braves Team Icon,-185,-135bet365 CO Logo,-137,-136,N/A,-137,-135,-157,N/A,-140,N/A,-135
Braves,155,+125BetRivers CO Logo,114,116,N/A,114,115,125,N/A,115,N/A,115
905,,,,,,,,,,,,
9,,,,,,,,,,,,
Marlins Team Icon,,,,,,,,,,,,
Marlins,,,,,,,,,,,,
906,,,,,,,,,,,,
3,,,,,,,,,,,,
Final,,,,,,,,,,,,
Blue Jays Team Icon,140,+124DK CO Logo,124,122,N/A,124,120,123,N/A,-125,N/A,120
Blue Jays,-167,-105Fanatics CO Logo,-149,-144,N/A,-149,-140,-152,N/A,-105,N/A,-140
911,,,,,,,,,,,,
2,,,,,,,,,,,,
Yankees Team Icon,,,,,,,,,,,,
Yankees,,,,,,,,,,,,
912,,,,,,,,,,,,
0,,,,,,,,,,,,
Final,,,,,,,,,,,,
Athletics Team Icon,105,+101DK CO Logo,101,-102,N/A,101,100,-106,N/A,100,N/A,100
Athletics,-125,-116FanDuel CO Logo,-122,-116,N/A,-122,-120,-118,N/A,-120,N/A,-120
913,,,,,,,,,,,,
3,,,,,,,,,,,,
Angels Team Icon,,,,,,,,,,,,
Angels,,,,,,,,,,,,
914,,,,,,,,,,,,
2,,,,,,,,,,,,
Final - 10,,,,,,,,,,,,
Rockies Team Icon,145,+185BetRivers CO Logo,178,176,N/A,178,180,185,N/A,180,N/A,180
Rockies,-172,-218DK CO Logo,-218,-230,N/A,-218,-220,-240,N/A,-220,N/A,-220
907,,,,,,,,,,,,
1,,,,,,,,,,,,
Diamondbacks Team Icon,,,,,,,,,,,,
Diamondbacks,,,,,,,,,,,,
908,,,,,,,,,,,,
2,,,,,,,,,,,,
