Scheduled,Open,Best Odds,DK CO logo,FanDuel CO logo,BetMGM CO logo,DK NJ logo,bet365 CO logo,BetRivers CO logo,,Fanatics CO logo,Caesars CO logo,bet365 NJ logo
Athletics Team Icon,130,+150FanDuel CO Logo,144,150,145,144,145,145,N/A,145,N/A,145
Athletics,-156,-170bet365 CO Logo,-175,-178,-175,-175,-170,-182,N/A,-190,N/A,-170
979,,,,,,,,,,,,
5,,,,,,,,,,,,
Padres Team Icon,,,,,,,,,,,,
Padres,,,,,,,,,,,,
980,,,,,,,,,,,,
2,,,,,,,,,,,,
Final,,,,,,,,,,,,
Pirates Team Icon,125,+150bet365 CO Logo,145,146,145,145,150,145,N/A,145,N/A,150
Pirates,-152,-174FanDuel CO Logo,-176,-174,-175,-176,-180,-182,N/A,-175,N/A,-180
971,,,,,,,,,,,,
4,,,,,,,,,,,,
Blue Jays Team Icon,,,,,,,,,,,,
Blue Jays,,,,,,,,,,,,
972,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
,,,,,,,,,,,,
Tigers Team Icon,100,+108FanDuel CO Logo,105,108,105,105,N/A,105,N/A,105,N/A,N/A
Tigers,-120,-125BetMGM CO Logo,-126,-126,-125,-126,N/A,-130,N/A,-125,N/A,N/A
961,,,,,,,,,,,,
3,,,,,,,,,,,,
Orioles Team Icon,,,,,,,,,,,,
Orioles,,,,,,,,,,,,
962,,,,,,,,,,,,
5,,,,,,,,,,,,
Final,,,,,,,,,,,,
Guardians Team Icon,-124,-115DK CO Logo,-115,-116,N/A,-115,-115,-117,N/A,-120,N/A,-115
Guardians,105,+100Fanatics CO Logo,-105,-102,N/A,-105,-105,-106,N/A,100,N/A,-105
973,,,,,,,,,,,,
3,,,,,,,,,,,,
Phillies Team Icon,,,,,,,,,,,,
Phillies,,,,,,,,,,,,
974,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
Twins Team Icon,130,+146FanDuel CO Logo,144,146,N/A,144,145,143,N/A,145,N/A,145
Twins,-156,-170bet365 CO Logo,-175,-174,N/A,-175,-170,-180,N/A,-175,N/A,-170
963,,,,,,,,,,,,
6,,,,,,,,,,,,
Red Sox Team Icon,,,,,,,,,,,,
Red Sox,,,,,,,,,,,,
964,,,,,,,,,,,,
5,,,,,,,,,,,,
Final,,,,,,,,,,,,
Rays Team Icon,110,+122FanDuel CO Logo,117,122,N/A,117,120,112,N/A,115,N/A,120
Rays,-132,-139BetRivers CO Logo,-141,-144,N/A,-141,-140,-139,N/A,-140,N/A,-140
965,,,,,,,,,,,,
0,,,,,,,,,,,,
Yankees Team Icon,,,,,,,,,,,,
Yankees,,,,,,,,,,,,
966,,,,,,,,,,,,
2,,,,,,,,,,,,
Final,,,,,,,,,,,,
Mets Team Icon,-125,+112BetRivers CO Logo,108,110,N/A,108,110,112,N/A,110,N/A,110
Mets,105,-130FanDuel CO Logo,-131,-130,N/A,-131,-130,-139,N/A,-130,N/A,-130
951,,,,,,,,,,,,
0,,,,,,,,,,,,
Marlins Team Icon,,,,,,,,,,,,
Marlins,,,,,,,,,,,,
952,,,,,,,,,,,,
4,,,,,,,,,,,,
Final,,,,,,,,,,,,
Cardinals Team Icon,-102,+105bet365 CO Logo,104,102,N/A,104,105,100,N/A,105,105,105
Cardinals,-116,-120FanDuel CO Logo,-125,-120,N/A,-125,-125,-122,N/A,-125,-125,-125
953,,,,,,,,,,,,
0,,,,,,,,,,,,
Reds Team Icon,,,,,,,,,,,,
Reds,,,,,,,,,,,,
954,,,,,,,,,,,,
0,,,,,,,,,,,,
PPD,,,,,,,,,,,,
Dodgers Team Icon,-172,-144DK CO Logo,-144,-148,N/A,-144,-150,-165,N/A,-170,N/A,-150
Dodgers,145,+132BetRivers CO Logo,119,126,N/A,119,125,132,N/A,130,N/A,125
955,,,,,,,,,,,,
5,,,,,,,,,,,,
Brewers Team Icon,,,,,,,,,,,,
Brewers,,,,,,,,,,,,
956,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
Mariners Team Icon,-135,-120BetMGM CO Logo,-127,-126,-120,-127,-125,-129,N/A,-170,N/A,-125
Mariners,114,+130Fanatics CO Logo,106,108,100,106,105,104,N/A,130,N/A,105
967,,,,,,,,,,,,
6,,,,,,,,,,,,
Royals Team Icon,,,,,,,,,,,,
Royals,,,,,,,,,,,,
968,,,,,,,,,,,,
8,,,,,,,,,,,,
Final,,,,,,,,,,,,
Astros Team Icon,136,+150FanDuel CO Logo,139,150,140,139,140,140,N/A,140,N/A,140
Astros,-162,-165bet365 CO Logo,-168,-178,-170,-168,-165,-177,N/A,-170,N/A,-165
975,,,,,,,,,,,,
8,,,,,,,,,,,,
Cubs Team Icon,,,,,,,,,,,,
Cubs,,,,,,,,,,,,
976,,,,,,,,,,,,
5,,,,,,,,,,,,
Final,,,,,,,,,,,,
White Sox Team Icon,100,+106FanDuel CO Logo,103,106,N/A,103,105,100,N/A,-125,N/A,105
White Sox,-120,-105Fanatics CO Logo,-124,-124,N/A,-124,-125,-122,N/A,-105,N/A,-125
977,,,,,,,,,,,,
5,,,,,,,,,,,,
Giants Team Icon,,,,,,,,,,,,
Giants,,,,,,,,,,,,
978,,,,,,,,,,,,
8,,,,,,,,,,,,
Final,,,,,,,,,,,,
Nationals Team Icon,125,+138BetRivers CO Logo,130,128,N/A,130,135,138,N/A,130,N/A,135
Nationals,-152,-152FanDuel CO Logo,-157,-152,N/A,-157,-160,-175,N/A,-155,N/A,-160
959,,,,,,,,,,,,
2,,,,,,,,,,,,
Braves Team Icon,,,,,,,,,,,,
Braves,,,,,,,,,,,,
960,,,,,,,,,,,,
1,,,,,,,,,,,,
Final,,,,,,,,,,,,
Rockies Team Icon,145,+225Fanatics CO Logo,168,166,N/A,168,165,170,N/A,225,N/A,165
Rockies,-172,-198FanDuel CO Logo,-205,-198,N/A,-205,-200,-215,N/A,-310,N/A,-200
957,,,,,,,,,,,,
1,,,,,,,,,,,,
Diamondbacks Team Icon,,,,,,,,,,,,
Diamondbacks,,,,,,,,,,,,
958,,,,,,,,,,,,
9,,,,,,,,,,,,
