Scheduled,Open,Best Odds,DK CO logo,FanDuel CO logo,BetMGM CO logo,DK NJ logo,bet365 CO logo,BetRivers CO logo,,Fanatics CO logo,Caesars CO logo,bet365 NJ logo
Phillies Team Icon,-132,-118BetMGM CO Logo,-120,-130,-118,-120,-120,-127,N/A,-120,-120,-120
Phillies,112,+110FanDuel CO Logo,100,110,-102,100,100,102,N/A,100,100,100
909,,,,,,,,,,,,
Padres Team Icon,,,,,,,,,,,,
Padres,,,,,,,,,,,,
910,,,,,,,,,,,,
4:40 PM,,,,,,,,,,,,
Astros Team Icon,113,+108FanDuel CO Logo,100,108,100,100,100,-104,N/A,100,105,100
Astros,-132,-120DK CO Logo,-120,-126,-120,-120,-120,-121,N/A,-120,-125,-120
919,,,,,,,,,,,,
Rangers Team Icon,,,,,,,,,,,,
Rangers,,,,,,,,,,,,
920,,,,,,,,,,,,
5:05 PM,,,,,,,,,,,,
,,,,,,,,,,,,
Marlins Team Icon,138,+130BetRivers CO Logo,129,128,125,129,125,130,N/A,130,130,125
Marlins,-168,-150bet365 CO Logo,-156,-152,-155,-156,-150,-165,N/A,-155,-155,-150
925,,,,,,,,,,,,
Blue Jays Team Icon,,,,,,,,,,,,
Blue Jays,,,,,,,,,,,,
926,,,,,,,,,,,,
5:07 PM,,,,,,,,,,,,
Rockies Team Icon,217,+270BetRivers CO Logo,260,260,260,260,265,270,N/A,250,270,265
Rockies,-269,-320FanDuel CO Logo,-330,-320,-325,-330,-330,-375,N/A,-320,-345,-330
911,,,,,,,,,,,,
Dodgers Team Icon,,,,,,,,,,,,
Dodgers,,,,,,,,,,,,
912,,,,,,,,,,,,
7:10 PM,,,,,,,,,,,,
Mariners Team Icon,-111,-115DK CO Logo,-115,-116,-115,-115,-115,-118,N/A,-115,-115,-115
Mariners,-111,-102FanDuel CO Logo,-105,-102,-105,-105,-105,-106,N/A,-105,-105,-105
921,,,,,,,,,,,,
Athletics Team Icon,,,,,,,,,,,,
Athletics,,,,,,,,,,,,
922,,,,,,,,,,,,
7:40 PM,,,,,,,,,,,,
Reds Team Icon,130,+118FanDuel CO Logo,109,118,110,109,110,116,N/A,115,N/A,110
Reds,-156,-130bet365 CO Logo,-132,-138,-135,-132,-130,-148,N/A,-140,N/A,-130
903,,,,,,,,,,,,
7,,,,,,,,,,,,
Mets Team Icon,,,,,,,,,,,,
Mets,,,,,,,,,,,,
904,,,,,,,,,,,,
2,,,,,,,,,,,,
"BOT 7TH: 0-2, 2 Out",,,,,,,,,,,,
Diamondbacks Team Icon,115,+120Fanatics CO Logo,108,114,N/A,108,110,115,N/A,120,N/A,110
Diamondbacks,-135,-130bet365 CO Logo,-131,-134,N/A,-131,-130,-148,N/A,-160,N/A,-130
905,,,,,,,,,,,,
4,,,,,,,,,,,,
Giants Team Icon,,,,,,,,,,,,
Giants,,,,,,,,,,,,
906,,,,,,,,,,,,
2,,,,,,,,,,,,
"MID 5TH: 0-0, 3 Out",,,,,,,,,,,,
Nationals Team Icon,135,+152FanDuel CO Logo,139,152,N/A,139,140,148,N/A,N/A,N/A,140
Nationals,-161,-165bet365 CO Logo,-169,-180,N/A,-169,-165,-186,N/A,N/A,N/A,-165
923,,,,,,,,,,,,
3,,,,,,,,,,,,
Guardians Team Icon,,,,,,,,,,,,
Guardians,,,,,,,,,,,,
924,,,,,,,,,,,,
0,,,,,,,,,,,,
"BOT 1ST: 1-1, 1 Out",,,,,,,,,,,,
Rays Team Icon,-120,-110FanDuel CO Logo,-114,-110,N/A,-114,-115,-120,N/A,-115,N/A,-115
Rays,102,-105DK CO Logo,-105,-106,N/A,-105,-105,-105,N/A,-105,N/A,-105
913,,,,,,,,,,,,
7,,,,,,,,,,,,
Orioles Team Icon,,,,,,,,,,,,
Orioles,,,,,,,,,,,,
914,,,,,,,,,,,,
9,,,,,,,,,,,,
Final - 13,,,,,,,,,,,,
Cubs Team Icon,-112,-120Fanatics CO Logo,-123,-124,N/A,-123,-125,-129,N/A,-120,N/A,-125
Cubs,-104,+106FanDuel CO Logo,102,106,N/A,102,105,104,N/A,100,N/A,105
907,,,,,,,,,,,,
1,,,,,,,,,,,,
Pirates Team Icon,,,,,,,,,,,,
Pirates,,,,,,,,,,,,
908,,,,,,,,,,,,
2,,,,,,,,,,,,
Final,,,,,,,,,,,,
Cardinals Team Icon,165,+215Fanatics CO Logo,187,184,N/A,187,200,185,N/A,215,N/A,200
Cardinals,-200,-220FanDuel CO Logo,-231,-220,N/A,-231,-245,-245,N/A,-300,N/A,-245
901,,,,,,,,,,,,
1,,,,,,,,,,,,
Brewers Team Icon,,,,,,,,,,,,
Brewers,,,,,,,,,,,,
902,,,,,,,,,,,,
5,,,,,,,,,,,,
Final,,,,,,,,,,,,
Twins Team Icon,-105,-105DK CO Logo,-105,-110,N/A,-105,-110,-112,N/A,-105,N/A,-110
Twins,-116,-106FanDuel CO Logo,-114,-106,N/A,-114,-110,-112,N/A,-115,N/A,-110
915,,,,,,,,,,,,
1,,,,,,,,,,,,
White Sox Team Icon,,,,,,,,,,,,
White Sox,,,,,,,,,,,,
916,,,,,,,,,,,,
3,,,,,,,,,,,,
Final,,,,,,,,,,,,
Yankees Team Icon,-141,-125Fanatics CO Logo,-137,-132,N/A,-137,-130,-141,N/A,-125,N/A,-130
Yankees,120,+114DK CO Logo,114,112,N/A,114,110,114,N/A,105,N/A,110
917,,,,,,,,,,,,
4,,,,,,,,,,,,
Royals Team Icon,,,,,,,,,,,,
Royals,,,,,,,,,,,,
918,,,,,,,,,,,,
3,,,,,,,,,,,,
