Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",142,624,502,146,75,26,1,44,108,120,111,22,156,6,5,0,14,8,2,0.290837,0.177885,0.25,0.711538,0.421474,0.609562,0.424978,1.03104,0.318725,3.79863,0.332248,,-0.341319,130.434,56.7034,178.424,-0.341319,5.5,57.33580094575882,-1.3783068656921387,7.92321,1.850000023841858,,,,,,,1170.9,8.245774647,1170.9,8.245774647,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",152,621,537,124,62,22,0,40,83,107,75,9,172,5,4,0,7,6,2,0.230912,0.120773,0.276973,0.436047,0.328502,0.495345,0.348035,0.823847,0.264432,2.91451,0.255319,,-0.497057,91.0123,17.6364,130.823,-0.497057,9.9,22.063117623329163,21.308730125427246,6.62498,18.729999542236328,,,,,,,843,5.546052631,843,5.546052631,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",152,656,594,172,100,37,8,27,99,94,49,5,113,6,7,0,8,32,9,0.289562,0.0746951,0.172256,0.433628,0.346037,0.515152,0.364065,0.861188,0.225589,7.19368,0.314534,,1.72409,104.68,27.1682,132.318,1.72409,7.1,26.711161255836487,14.331040382385254,6.50991,3.0999999046325684,,,,,,,976.5,6.424342105,976.5,6.424342105,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Shohei Ohtani","LAD",152,693,590,168,85,30,5,48,134,131,94,17,168,5,4,0,6,29,5,0.284746,0.135642,0.242424,0.559524,0.385281,0.59661,0.407005,0.981892,0.311864,7.05028,0.31746,,2.64993,134.744,52.8612,164.906,2.64993,0,55.96046161651611,-17.5,6.29322,1.2699999809265137,,,,,,,1255.6,8.260526315,1255.6,8.260526315,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",152,666,531,143,81,24,2,36,108,102,127,9,117,3,4,1,14,22,4,0.269303,0.190691,0.175676,1.08547,0.410526,0.525424,0.399084,0.93595,0.256121,5.06114,0.280105,,1.42839,125.211,46.5184,162.272,1.42839,-6.9,50.58246052265167,-14.241270065307617,5.98451,4.650000095367432,,,,,,,1109.8,7.301315789,1109.8,7.301315789,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",152,663,603,164,104,29,2,29,96,99,48,5,149,10,2,0,12,27,7,0.271973,0.0723982,0.224736,0.322148,0.334842,0.470978,0.34542,0.80582,0.199005,5.73421,0.316159,,1.49692,95.7602,17.4216,129.022,1.49692,6.7,24.175315976142883,9.136066913604736,5.74361,9.489999771118164,,,,,,,889.2,5.85,889.2,5.85,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",151,673,595,155,96,31,2,26,100,90,60,2,124,12,6,0,8,23,4,0.260504,0.089153,0.18425,0.483871,0.337296,0.45042,0.34044,0.787716,0.189916,5.84035,0.286031,,1.86605,94.4838,14.9637,122.099,1.86605,5.7,19.493080377578735,13.118430137634277,5.62674,25.350000381469727,,,,,,,867.2,5.743046357,867.2,5.743046357,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",149,646,564,153,94,29,2,28,102,86,74,4,128,6,2,0,11,24,6,0.271277,0.114551,0.198142,0.578125,0.360681,0.478723,0.361692,0.839405,0.207447,5.58544,0.304878,,1.22061,101.839,25.5093,137.094,1.22061,9.6,29.621475100517273,2.479188919067383,5.4826,14.010000228881836,,,,,,,920.3,6.176510067,920.3,6.176510067,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Gunnar Henderson","BAL",152,647,572,156,93,31,6,26,96,87,65,3,139,6,4,0,6,21,4,0.272727,0.100464,0.214838,0.467626,0.35085,0.484266,0.35801,0.835116,0.211538,6.51215,0.316302,,1.49906,100.063,23.6149,132.608,1.49906,-2.4,26.36466372013092,4.7318339347839355,5.46064,12.510000228881836,,,,,,,911.8,5.99868421,911.8,5.99868421,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"William Contreras","MIL",152,647,565,153,101,31,1,20,87,83,75,4,124,3,4,0,18,6,2,0.270796,0.11592,0.191654,0.604839,0.357032,0.435398,0.344522,0.792431,0.164602,3.61942,0.312941,,-0.774328,92.9776,16.5296,122.348,-0.774328,1.5,16.36304533481598,13.386390686035156,5.24544,56.560001373291016,,,,,,,815.2,5.363157894,815.2,5.363157894,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"José Ramírez","CLE",150,640,567,154,90,34,3,27,90,91,63,18,76,4,6,0,7,28,6,0.271605,0.0984375,0.11875,0.828947,0.345313,0.485009,0.346866,0.830321,0.213404,5.89301,0.270213,,2.22526,93.1899,17.569,124.672,2.22526,3.8,20.835456609725952,6.151557922363281,5.01553,6.28000020980835,,,,,,,902.3,6.015333333,902.3,6.015333333,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Wyatt Langford","TEX",145,605,528,141,82,29,3,27,87,88,68,3,135,5,4,0,6,20,5,0.267045,0.112397,0.22314,0.503704,0.353719,0.486742,0.360439,0.840461,0.219697,5.73458,0.308108,,0.948959,94.7606,23.2752,134.242,0.948959,8.6,25.365838587284088,1.931128978729248,4.92396,37.75,,,,,,,859.6,5.928275862,859.6,5.928275862,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Corbin Carroll","ARI",152,660,574,147,80,27,13,27,112,92,69,3,145,10,5,2,5,35,6,0.256098,0.104545,0.219697,0.475862,0.343465,0.489547,0.355516,0.833012,0.233449,8.49153,0.29484,,3.51304,100.737,22.7532,128.141,3.51304,7.2,25.526031732559204,-0.07513236999511719,4.84988,14.100000381469727,,,,,,,942.1,6.198026315,942.1,6.198026315,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Pete Crow-Armstrong","CHC",152,612,559,143,84,28,6,25,90,92,32,1,149,9,6,6,3,31,8,0.255814,0.0522876,0.243464,0.214765,0.30363,0.461538,0.326536,0.765169,0.205725,7.59511,0.30179,,2.10525,79.0108,6.69833,111.065,2.10525,13.4,10.131127119064331,15.648676872253418,4.72019,32.939998626708984,,,,,,,751.7,4.945394736,751.7,4.945394736,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Elly De La Cruz","CIN",152,650,584,155,92,32,7,24,101,91,61,5,175,3,1,1,11,40,9,0.265411,0.0938462,0.269231,0.348571,0.337442,0.467466,0.34491,0.804908,0.202055,7.72444,0.339378,,3.31749,93.6133,16.8108,116.979,3.31749,0.2,16.39798140525818,7.364903166890144,4.64315,8.449999809265137,,,,,,,885.1,5.823026315,885.1,5.823026315,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Adley Rutschman","BAL",134,559,490,125,79,27,1,18,65,64,61,2,89,3,5,0,9,1,0,0.255102,0.109123,0.159213,0.685393,0.338104,0.42449,0.331659,0.762594,0.169388,2.44806,0.275773,,-0.730836,74.4938,8.44366,114.456,-0.730836,6.7,8.793416798114777,16.969694137573242,4.60499,148.92999267578125,,,,,,,657.1,4.903731343,657.1,4.903731343,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Ronald Acuña Jr.","ATL",119,530,443,127,78,21,2,26,102,71,80,3,111,6,1,0,8,25,5,0.286682,0.150943,0.209434,0.720721,0.401887,0.519187,0.396277,0.921074,0.232506,6.37636,0.32899,,1.88954,98.4347,35.8111,156.577,1.88954,-4.4,37.42867124080658,-10.242151737213135,4.58508,5.260000228881836,,,,,,,876.4,7.364705882,876.4,7.364705882,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Alejandro Kirk","TOR",126,473,416,112,81,18,0,13,42,60,47,2,59,4,6,0,15,1,0,0.269231,0.0993657,0.124736,0.79661,0.344609,0.40625,0.328029,0.750859,0.137019,1.51329,0.282857,,-0.658218,61.6392,5.7506,111.115,-0.658218,13.9,5.538038492202759,22.589740753173828,4.54398,160.25,,,,,,,540.5,4.289682539,540.5,4.289682539,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Kyle Tucker","LAD",138,581,497,132,76,25,2,29,87,92,78,5,83,3,2,1,9,20,3,0.265594,0.134251,0.142857,0.939759,0.367241,0.498994,0.370887,0.866235,0.2334,5.35389,0.26615,,1.76799,95.9299,27.2803,140.164,1.76799,0.9,29.425017952919006,-5.504321217536926,4.42449,13.130000114440918,,,,,,,871.3,6.313768115,871.3,6.313768115,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Mookie Betts","LAD",139,614,532,145,93,29,2,21,90,83,71,3,73,4,7,0,10,9,2,0.272556,0.115635,0.118893,0.972603,0.358306,0.453008,0.350629,0.811314,0.180451,4.58411,0.278652,,-0.108311,91.2797,18.7309,126.286,-0.108311,-3.7,19.02068880945444,3.068077325820923,4.34936,60.58000183105469,,,,,,,809.4,5.823021582,809.4,5.823021582,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Geraldo Perdomo","ARI",152,599,501,134,92,25,4,13,87,67,74,1,79,7,7,10,6,21,5,0.267465,0.123539,0.131886,0.936709,0.365025,0.411178,0.341562,0.776203,0.143713,6.04712,0.290865,,1.01693,84.6401,13.8636,118.582,1.01693,1.5,14.208762764930725,8.102733612060547,4.3211,76.7699966430664,,,,,,,735.8,4.840789473,735.8,4.840789473,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Vladimir Guerrero Jr.","TOR",152,659,575,168,105,34,0,29,91,99,74,9,88,6,4,0,19,5,2,0.292174,0.112291,0.133536,0.840909,0.376328,0.502609,0.374743,0.878936,0.210435,2.72418,0.300866,,-0.980929,110.872,33.0058,143.294,-0.980929,-1.2,32.64579111337662,-13.306848764419556,4.29997,18.049999237060547,,,,,,,980.9,6.453289473,980.9,6.453289473,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ketel Marte","ARI",132,564,490,132,78,27,3,24,82,78,62,5,94,7,5,0,11,5,1,0.269388,0.109929,0.166667,0.659574,0.356383,0.483673,0.359126,0.840056,0.214286,4.60482,0.286472,,-0.346955,87.7374,21.0965,130.614,-0.346955,0.8,20.11695024371147,2.8723104596138,4.27135,32.63999938964844,,,,,,,783.9,5.938636363,783.9,5.938636363,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Trea Turner","PHI",137,604,554,156,106,29,4,17,87,71,42,1,111,5,3,0,10,25,4,0.281588,0.0695364,0.183775,0.378378,0.336093,0.440433,0.33628,0.776526,0.158845,6.50968,0.324009,,2.35848,82.7564,11.3891,114.337,2.35848,2.1,12.621898174285889,8.757848262786865,4.24279,26.780000686645508,,,,,,,763.6,5.573722627,763.6,5.573722627,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Matt Chapman","SFG",135,547,476,118,65,28,2,23,77,66,61,1,134,7,3,0,8,7,2,0.247899,0.111517,0.244973,0.455224,0.340037,0.460084,0.346126,0.800121,0.212185,4.65745,0.295031,,-0.290456,79.3193,14.687,125.086,-0.290456,5,15.972817599773407,7.009847164154053,4.21282,163.6199951171875,,,,,,,705.3,5.224444444,705.3,5.224444444,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Corey Seager","TEX",115,493,431,113,68,22,0,23,66,68,55,8,93,4,3,0,10,2,0,0.262181,0.111562,0.188641,0.591398,0.348884,0.473318,0.350093,0.822202,0.211137,2.56389,0.283019,,-0.385599,73.0769,14.8252,127.115,-0.385599,3.2,15.369921565055847,8.634303331375122,4.19254,95.08999633789062,,,,,,,662.6,5.76173913,662.6,5.76173913,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Bo Bichette","NYM",139,599,554,161,110,33,1,17,72,80,39,1,99,3,3,0,18,6,4,0.290614,0.0651085,0.165275,0.393939,0.338898,0.445848,0.339534,0.784747,0.155235,3.07605,0.326531,,-1.43492,83.6541,12.8776,121.478,-1.43492,4.8,13.813213467597961,7.000911474227905,4.1679,92.86000061035156,,,,,,,735,5.287769784,735,5.287769784,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Junior Caminero","TBR",152,631,579,156,92,28,1,35,81,113,43,1,118,4,5,0,24,6,1,0.26943,0.0681458,0.187005,0.364407,0.321712,0.502591,0.350889,0.824302,0.233161,3.6286,0.280742,,-0.120548,93.9403,19.3827,125.376,-0.120548,-2.1,18.751645907759666,0.2184891700744629,4.1636,16.479999542236328,,,,,,,860.1,5.658552631,860.1,5.658552631,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Jackson Merrill","SDP",138,546,500,138,85,27,5,21,71,77,35,2,105,3,5,3,5,6,3,0.276,0.0641026,0.192308,0.333333,0.324125,0.476,0.341035,0.800125,0.2,4.99895,0.308707,,-0.827355,76.9175,12.4034,122.944,-0.827355,5.4,14.019984126091003,7.40617299079895,4.05017,70.79000091552734,,,,,,,694,5.028985507,694,5.028985507,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Nico Hoerner","CHC",152,635,582,162,120,28,4,10,82,64,39,1,59,10,4,0,9,26,6,0.278351,0.0614173,0.0929134,0.661017,0.332283,0.391753,0.317277,0.724036,0.113402,6.03486,0.294004,,1.63381,77.2068,2.17667,104.722,1.63381,10.9,5.187913417816162,13.23318600654602,4.04557,101.93000030517578,,,,,,,702.8,4.62368421,702.8,4.62368421,,,,,,,,,,,,,,,,,,,"Nico Hoerner","21479",663538
"Willy Adames","SFG",152,643,567,134,80,28,1,25,82,83,66,2,158,4,6,0,10,11,3,0.236332,0.102644,0.245723,0.417722,0.317263,0.421517,0.320297,0.73878,0.185185,4.32221,0.279487,,-0.00559974,79.7559,3.78049,107.392,-0.00559974,4.8,5.627760164439678,11.887742519378662,3.98014,133.92999267578125,,,,,,,727.8,4.788157894,727.8,4.788157894,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Drake Baldwin","ATL",123,485,433,115,70,23,2,20,55,70,46,1,94,5,1,0,10,0,0,0.265589,0.0948454,0.193814,0.489362,0.342268,0.466513,0.349603,0.808781,0.200924,2.06928,0.296875,,-0.792201,71.6981,14.3916,124.604,-0.792201,-0.1,13.350556492805481,8.810200117528439,3.91775,78.62999725341797,,,,,,,630.1,5.122764227,630.1,5.122764227,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Zach Neto","LAA",146,596,530,134,76,32,1,25,85,83,43,4,148,18,3,2,10,24,9,0.25283,0.0721477,0.248322,0.290541,0.328283,0.458491,0.338327,0.786773,0.20566,5.59927,0.302778,,0.236322,82.6508,12.2288,116.426,0.236322,-0.7,11.775054037570953,5.869664967060089,3.90471,32.29999923706055,,,,,,,757.3,5.186986301,757.3,5.186986301,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Jarren Duran","BOS",152,648,584,152,84,40,9,19,88,80,52,1,154,8,3,1,5,24,5,0.260274,0.0802469,0.237654,0.337662,0.327666,0.457192,0.337792,0.784858,0.196918,7.33066,0.321256,,1.80837,89.5807,13.0145,113.04,1.80837,10.6,11.767592072486877,3.4571433067321777,3.84028,64.04000091552734,,,,,,,824.7,5.425657894,824.7,5.425657894,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Cody Bellinger","NYY",143,604,542,147,94,27,3,23,84,92,48,3,87,4,10,0,8,12,3,0.271218,0.0794702,0.14404,0.551724,0.32947,0.45941,0.336718,0.78888,0.188192,5.15874,0.280543,,0.227409,82.9714,11.6041,117.625,0.227409,10.6,12.774065241217613,3.9421520233154297,3.83789,80.98999786376953,,,,,,,763.2,5.337062937,763.2,5.337062937,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Michael Harris II","ATL",152,603,567,157,102,30,5,20,73,79,25,1,116,5,4,2,8,21,5,0.276896,0.0414594,0.192371,0.215517,0.311148,0.453263,0.3274,0.764411,0.176367,6.17048,0.314943,,1.28759,78.2722,7.0231,109.394,1.28759,7.1,8.001254796981812,9.315608263015747,3.8237,99.06999969482422,,,,,,,731.6,4.813157894,731.6,4.813157894,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Dansby Swanson","CHC",148,603,546,132,86,25,2,19,78,73,51,1,154,3,3,0,9,14,3,0.241758,0.0845771,0.25539,0.331169,0.308458,0.399267,0.308647,0.707725,0.157509,5.17118,0.300532,,0.653815,69.0912,-2.15794,98.8108,0.653815,9.9,-0.19610309600830078,16.54682493209839,3.72485,152.30999755859375,,,,,,,635.9,4.296621621,635.9,4.296621621,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Manny Machado","SDP",147,622,562,147,94,28,0,25,79,88,53,4,124,2,5,0,18,9,2,0.261566,0.085209,0.199357,0.427419,0.324759,0.44484,0.330522,0.769599,0.183274,3.59713,0.291866,,0.0237226,82.3148,8.82066,115.742,0.0237226,1.7,11.628493251278996,3.9854204654693604,3.71413,37.52000045776367,,,,,,,753.9,5.128571428,753.9,5.128571428,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Byron Buxton","MIN",118,473,422,105,53,22,4,26,76,70,38,3,134,9,4,0,2,14,0,0.248815,0.0803383,0.283298,0.283582,0.321353,0.504739,0.349622,0.826092,0.255924,7.38898,0.296992,,2.15964,69.9316,14.043,124.628,2.15964,2.1,15.889220476150513,3.837948203086853,3.6845,73.4800033569336,,,,,,,664.6,5.632203389,664.6,5.632203389,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Shea Langeliers","ATH",138,546,496,128,68,28,1,31,73,97,42,1,122,4,4,0,11,4,1,0.258065,0.0769231,0.223443,0.344262,0.318681,0.506048,0.350534,0.82473,0.247984,3.48446,0.279539,,-0.355507,81.1287,16.6146,123.194,-0.355507,-7.6,14.570641905069351,2.430863857269287,3.66277,54.04999923706055,,,,,,,741.9,5.376086956,741.9,5.376086956,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Pete Alonso","BAL",152,656,579,158,87,35,1,35,81,106,56,6,142,13,8,0,21,2,1,0.272884,0.0853659,0.216463,0.394366,0.346037,0.518135,0.365298,0.864171,0.24525,2.47653,0.3,,-0.999768,105.337,27.8253,137.629,-0.999768,-3,28.093592405319214,-15.05173397064209,3.64513,24.440000534057617,,,,,,,950,6.25,950,6.25,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Roman Anthony","BOS",136,590,502,132,84,27,3,18,88,74,79,1,146,5,4,0,5,7,4,0.262948,0.133898,0.247458,0.541096,0.366102,0.436255,0.35127,0.802357,0.173307,4.60154,0.333333,,-1.34055,88.0191,18.306,122.325,-1.34055,7.3,14.183713555335999,0.7964730262756348,3.61096,50.75,,,,,,,755.9,5.558088235,755.9,5.558088235,,,,,,,,,,,,,,,,,,,"Roman Anthony","31812",701350
"Will Smith","LAD",118,487,415,106,66,20,2,18,65,62,56,3,96,9,7,0,8,2,1,0.255422,0.11499,0.197125,0.583333,0.351129,0.443374,0.343531,0.794503,0.187952,3.52921,0.285714,,-0.854532,69.5928,12.05,121.424,-0.854532,-1.4,11.511263489723206,7.546943306922913,3.60712,95.69000244140625,,,,,,,613.2,5.196610169,613.2,5.196610169,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Jeremy Peña","HOU",142,593,543,146,101,27,2,16,72,67,34,1,107,11,3,2,11,16,4,0.268877,0.0573356,0.180438,0.317757,0.323181,0.414365,0.321112,0.737546,0.145488,5.15648,0.307329,,0.604688,73.9468,3.87924,106.321,0.604688,2.7,5.022848427295685,9.23659634590149,3.54778,122.9800033569336,,,,,,,668.9,4.71056338,668.9,4.71056338,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Riley Greene","DET",148,619,556,148,88,29,3,28,82,96,55,2,169,4,4,0,10,3,2,0.266187,0.088853,0.273021,0.325444,0.33441,0.480216,0.34894,0.814626,0.214029,3.71491,0.330579,,-1.17628,91.1742,18.0346,124.665,-1.17628,3.3,16.8181893825531,-3.5231921672821045,3.54069,78.4800033569336,,,,,,,814.3,5.502027027,814.3,5.502027027,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Patrick Bailey","CLE",121,431,389,89,61,17,2,9,44,46,33,0,111,2,5,2,10,2,0,0.228792,0.0765661,0.257541,0.297297,0.289044,0.352185,0.281768,0.641229,0.123393,3.78768,0.291971,,-0.233761,39.9778,-10.9482,80.9989,-0.233761,21.7,-9.939991861581802,29.61813735961914,3.47999,747.8900146484375,,,,,,,363.5,3.004132231,363.5,3.004132231,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Freddie Freeman","LAD",138,599,523,151,92,36,2,21,82,80,63,8,110,8,5,0,10,8,2,0.288719,0.105175,0.183639,0.572727,0.370618,0.48566,0.365507,0.856277,0.196941,4.24358,0.327456,,-0.242294,96.2856,25.5092,136.479,-0.242294,-1,25.65527930855751,-12.004555702209473,3.435,67.87999725341797,,,,,,,858.4,6.220289855,858.4,6.220289855,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Maikel Garcia","KCR",152,632,567,152,106,31,4,11,82,69,54,0,95,1,7,3,12,25,7,0.268078,0.085443,0.150316,0.568421,0.329094,0.395062,0.316624,0.724156,0.126984,6.07386,0.301282,,1.07051,76.5069,1.83124,99.6374,1.07051,8.6,0.8004469275474548,10.922163724899292,3.42561,63.150001525878906,,,,,,,693.2,4.560526315,693.2,4.560526315,,,,,,,,,,,,,,,,,,,"Maikel Garcia","22715",672580
"Steven Kwan","CLE",152,654,583,165,125,26,4,10,85,63,59,1,58,6,3,3,6,17,5,0.283019,0.0902141,0.088685,1.01724,0.353303,0.392796,0.329235,0.746099,0.109777,5.22088,0.299228,,0.104697,85.8664,8.59121,112.526,0.104697,-1.2,9.75986360758543,1.202998161315918,3.42538,169.60000610351562,,,,,,,746.5,4.91118421,746.5,4.91118421,,,,,,,,,,,,,,,,,,,"Steven Kwan","24610",680757
"Konnor Griffin","PIT",133,593,532,136,94,24,3,15,96,81,35,1,151,21,3,2,6,30,9,0.255639,0.0590219,0.254637,0.231788,0.324873,0.396617,0.316924,0.72149,0.140977,7.30324,0.327913,,1.33069,71.9303,1.86273,100.805,1.33069,5,1.896312654018402,11.536596298217773,3.3923,999,,,,,,,657.1,4.940601503,657.1,4.940601503,,,,,,,,,,,,,,,,,,,"Konnor Griffin","35376",804606
"Brent Rooker","ATH",152,626,556,153,85,32,2,34,83,111,60,3,157,6,4,0,9,7,1,0.27518,0.0958466,0.250799,0.382166,0.34984,0.523381,0.371196,0.873222,0.248201,3.98452,0.322493,,0.0134349,103.517,29.5501,137.427,0.0134349,0,27.62774419039488,-16.10082244873047,3.38446,42.11000061035156,,,,,,,933.1,6.138815789,933.1,6.138815789,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Matt McLain","CIN",141,580,511,127,80,24,3,20,79,75,57,0,158,7,3,2,8,18,4,0.248532,0.0982759,0.272414,0.360759,0.33045,0.424658,0.329777,0.755107,0.176125,5.93733,0.318452,,1.01129,76.4057,7.87422,106.613,1.01129,5.9,5.556919097900391,8.031099557876587,3.36393,144.3000030517578,,,,,,,689.9,4.892907801,689.9,4.892907801,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Carter Jensen","KCR",140,585,521,129,84,23,4,18,70,73,57,1,155,2,4,1,7,8,1,0.247601,0.0974359,0.264957,0.367742,0.321918,0.410749,0.319203,0.732666,0.163148,5.16365,0.315341,,0.253045,72.0423,2.91999,101.414,0.253045,0.7,1.228002518415451,11.44735449552536,3.35753,999,,,,,,,649.5,4.639285714,649.5,4.639285714,,,,,,,,,,,,,,,,,,,"Carter Jensen","29478",695600
"Austin Riley","ATL",126,543,489,129,76,26,2,25,73,72,43,1,139,7,4,0,11,2,1,0.263804,0.0791897,0.255985,0.309353,0.32965,0.478528,0.346522,0.808178,0.214724,3.50832,0.316109,,-0.834727,78.9141,14.7545,122.493,-0.834727,-1.2,13.641141593456268,0.7951499223709106,3.32481,59.36000061035156,,,,,,,706.2,5.604761904,706.2,5.604761904,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Masyn Winn","STL",140,597,543,137,96,26,3,12,81,60,43,0,113,5,4,2,8,11,4,0.252302,0.0720268,0.18928,0.380531,0.310924,0.377532,0.302199,0.688457,0.12523,5.29866,0.296209,,-0.38871,65.2782,-5.26198,94.7492,-0.38871,10.1,-4.1039875745773315,16.68068838119507,3.31831,364.7799987792969,,,,,,,583.2,4.165714285,583.2,4.165714285,,,,,,,,,,,,,,,,,,,"Masyn Winn","27479",691026
"Yordan Alvarez","HOU",113,473,404,117,67,24,1,25,65,73,58,9,83,6,5,0,8,2,1,0.289604,0.122622,0.175476,0.698795,0.382664,0.539604,0.387723,0.922268,0.25,2.65707,0.305648,,-0.814922,84.5633,28.6747,152.207,-0.814922,0,28.289646863937378,-12.165637969970703,3.31585,33.38999938964844,,,,,,,754.5,6.67699115,754.5,6.67699115,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Brice Turang","MIL",152,610,547,144,102,25,3,14,80,70,55,1,125,1,4,3,9,28,6,0.263254,0.0901639,0.204918,0.44,0.329489,0.396709,0.317893,0.726199,0.133455,6.04257,0.315534,,2.10643,74.4722,2.39598,104.107,2.10643,4.7,5.075416803359985,6.941328525543213,3.30525,48.18000030517578,,,,,,,685,4.506578947,685,4.506578947,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Ceddanne Rafaela","BOS",149,584,543,142,90,31,4,17,82,77,27,0,127,8,4,2,9,21,7,0.26151,0.0462329,0.217466,0.212598,0.304124,0.427256,0.315546,0.73138,0.165746,6.4803,0.310174,,0.50817,70.1853,1.18119,97.7157,0.50817,11.1,-1.0641318559646606,13.245796918869019,3.3035,125.02999877929688,,,,,,,650,4.362416107,650,4.362416107,,,,,,,,,,,,,,,,,,,"Ceddanne Rafaela","24262",678882
"Jackson Chourio","MIL",152,632,583,160,96,38,4,22,91,94,38,2,129,3,6,2,13,22,7,0.274443,0.0601266,0.204114,0.294574,0.319048,0.466552,0.335199,0.7856,0.19211,6.19532,0.315068,,0.642153,86.038,11.3623,115.962,0.642153,5.5,12.598174095153809,-1.4664902687072754,3.28957,19.3799991607666,,,,,,,798,5.25,798,5.25,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Gabriel Moreno","ARI",100,368,327,91,65,16,1,9,43,45,35,2,64,3,3,0,11,3,2,0.278287,0.0951087,0.173913,0.546875,0.350543,0.415902,0.334137,0.766446,0.137615,3.34385,0.319066,,-0.885804,49.7809,6.29889,113.496,-0.885804,7.8,5.000363290309906,14.560729026794434,3.25363,181.22000122070312,,,,,,,433.4,4.334,433.4,4.334,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
