Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Homer Bush Jr.","TBR",122,513,459,115,95,13,5,2,58,48,32,0,110,11,2,9,2,30,8,0.250545,0.0623782,0.214425,0.290909,0.313492,0.313726,0.28209,0.627218,0.0631808,7.19421,0.323782,,1.81283,47.7178,-12.8971,77.983,1.81283,1.8,-11.49931001663208,3.6849205493927,1.00755,999,,,,,,,433.6,3.55409836,433.6,3.55409836,,,,,,,,,,,,,,,,,,,"Homer Bush Jr.","sa3022480",683344
"Jackson Cluff","NYM",101,367,318,63,40,13,2,8,45,39,38,0,120,4,2,5,2,11,2,0.198113,0.103542,0.326975,0.316667,0.290055,0.327044,0.27681,0.617099,0.128931,6.53306,0.286458,,0.839628,32.5639,-10.8,78.5098,0.839628,2.1,-8.507990002632141,6.145414352416992,1.00716,999,,,,,,,300.4,2.974257425,300.4,2.974257425,,,,,,,,,,,,,,,,,,,"Jackson Cluff","sa3010342",687714
"Brooks Baldwin","CHW",122,463,423,108,72,19,2,15,54,58,31,0,105,2,2,5,8,9,3,0.255319,0.0669546,0.226782,0.295238,0.30786,0.416076,0.314258,0.723936,0.160756,4.81088,0.304918,,-0.121728,55.1593,0.452277,100.767,-0.121728,-1.3,0.29701201617717743,-6.403615236282349,1.00615,748.22998046875,,,,,,,497,4.073770491,497,4.073770491,,,,,,,,,,,,,,,,,,,"Brooks Baldwin","31394",681460
"Michael Massey","KCR",114,428,396,98,66,20,1,11,43,48,21,0,81,5,5,1,6,4,2,0.247475,0.0490654,0.189252,0.259259,0.290398,0.386364,0.29369,0.676762,0.138889,3.45736,0.281553,,-0.626389,43.8422,-6.7293,83.8391,-0.626389,2.3,-8.77872097492218,3.872604250907898,1.00569,999,,,,,,,399.9,3.507894736,399.9,3.507894736,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Bryce Johnson","SDP",109,338,296,69,50,13,2,4,40,34,29,0,91,6,1,6,3,15,4,0.233108,0.0857988,0.269231,0.318681,0.313253,0.331081,0.28946,0.644334,0.097973,6.40732,0.321782,,0.800788,33.4622,-6.47506,87.6132,0.800788,1.5,-4.161362588405609,2.741916537284851,1.00497,999,,,,,,,299.4,2.74678899,299.4,2.74678899,,,,,,,,,,,,,,,,,,,"Bryce Johnson","20002",669369
"Wyatt Young","NYM",117,440,386,88,72,12,1,3,47,34,44,0,102,3,3,4,6,7,3,0.227979,0.1,0.231818,0.431373,0.309633,0.287565,0.272581,0.597198,0.0595855,4.09504,0.299296,,-0.614151,37.5306,-14.4588,75.6132,-0.614151,6.9,-13.331652820110321,8.516696214675903,1.00466,999,,,,,,,321.4,2.747008547,321.4,2.747008547,,,,,,,,,,,,,,,,,,,"Wyatt Young","sa3017081",696281
"Brooks Lee","MIN",130,517,477,117,80,22,2,13,52,59,33,1,89,3,4,0,13,4,2,0.245283,0.0638298,0.172147,0.370787,0.295938,0.381551,0.294737,0.677489,0.136268,3.46369,0.274406,,-0.778227,53.3984,-7.68915,86.8191,-0.778227,-4.9,-8.809953093528748,0.7988533973693848,1.00152,542.5700073242188,,,,,,,485.6,3.735384615,485.6,3.735384615,,,,,,,,,,,,,,,,,,,"Brooks Lee","31595",686797
"Diego Velasquez","SFG",131,566,494,122,98,20,2,2,51,47,46,1,95,8,3,15,6,11,6,0.246964,0.0812721,0.167845,0.484211,0.319419,0.307692,0.283006,0.627112,0.0607287,4.12667,0.3,,-1.25396,53.0685,-13.8087,81.8467,-1.25396,2.3,-13.431686282157898,4.379658937454224,0.999926,999,,,,,,,443.5,3.385496183,443.5,3.385496183,,,,,,,,,,,,,,,,,,,"Diego Velasquez","sa3016144",694196
"Dylan Carlson","PHI",112,368,317,73,49,14,2,8,41,38,41,0,84,6,4,0,5,4,2,0.230284,0.111413,0.228261,0.488095,0.326087,0.362776,0.306842,0.688863,0.132492,4.32968,0.283843,,-0.652795,41.6256,-1.85643,97.5739,-0.652795,3.3,-1.7109667658805847,-0.7564375400543213,0.999834,999,,,,,,,362,3.232142857,362,3.232142857,,,,,,,,,,,,,,,,,,,"Dylan Carlson","20126",666185
"Walker Jenkins","MIN",89,388,342,83,54,18,3,8,45,44,37,0,83,6,3,0,3,9,2,0.24269,0.0953608,0.213918,0.445783,0.324742,0.383041,0.312257,0.707783,0.140351,5.70441,0.295276,,0.340603,45.5939,-0.251273,98.8883,0.340603,-4.9,-0.16776564717292786,-3.474368095397949,0.994108,999,,,,,,,407.8,4.582022471,407.8,4.582022471,,,,,,,,,,,,,,,,,,,"Walker Jenkins","sa3022894",805805
